"","Year","Collocate","MI Score"
"1",1665,"of",3.18
"2",1666,"of",3.34
"3",1667,"of",3.32
"4",1668,"of",3.18
"5",1669,"of",3.15
"6",1670,"matter",8.99
"7",1670,"of",3.15
"8",1671,"matter",8.83
"9",1671,"of",3.11
"10",1672,"of",3.08
"11",1673,"matter",8.81
"12",1673,"of",3.06
"13",1675,"matter",9.09
"14",1676,"matter",8.71
"15",1677,"matter",9.13
"16",1678,"matter",9.19
"17",1679,"matter",9.19
"18",1680,"matter",9.19
"19",1681,"matter",9.19
"20",1682,"matter",9.19
"21",1683,"matter",9.19
"22",1684,"matter",9.12
"23",1685,"matter",9.3
"24",1686,"matter",9.12
"25",1694,"matter",8.46
"26",1699,"matter",8.46
"27",1699,"of",3.03
"28",1700,"matter",8.77
"29",1700,"of",3.1
"30",1701,"matter",8.63
"31",1701,"of",3.1
"32",1702,"matter",8.63
"33",1702,"of",3.1
"34",1703,"matter",8.71
"35",1703,"of",3.18
"36",1704,"matter",8.68
"37",1704,"of",3.07
"38",1705,"matter",8.77
"39",1705,"of",3.27
"40",1706,"matter",8.77
"41",1706,"of",3.27
"42",1707,"matter",8.72
"43",1707,"of",3.22
"44",1708,"matter",8.92
"45",1708,"of",3.2
"46",1709,"of",3.06
"47",1710,"of",3.06
"48",1711,"of",3.27
"49",1712,"of",3.27
"50",1713,"of",3.37
"51",1714,"matter",9.46
"52",1714,"of",3.55
"53",1766,"this",3.23
"54",1767,"this",3.2
"55",1774,"this",3.01
"56",1783,"that",3
"57",1784,"that",3.02
"58",1785,"this",3.51
"59",1785,"that",3.03
"60",1786,"this",3.34
"61",1786,"that",3.16
"62",1787,"this",3.29
"63",1787,"that",3
"64",1788,"very",3.4
"65",1788,"this",3.24
"66",1789,"this",3.17
"67",1790,"very",3.25
"68",1790,"this",3.1
"69",1791,"this",3.31
"70",1792,"this",3.22
"71",1793,"this",3.21
"72",1794,"this",3.18
"73",1798,"this",3.04
"74",1799,"this",3.25
"75",1800,"this",3.43
"76",1801,"this",3.35
"77",1802,"this",3.38
"78",1803,"this",3.5
"79",1804,"this",3.44
"80",1805,"this",3.57
"81",1806,"this",3.73
"82",1807,"this",3.68
"83",1808,"this",3.64
"84",1809,"curious",7.54
"85",1809,"this",3.48
"86",1810,"curious",7.17
"87",1810,"this",3.29
"88",1811,"curious",7.13
"89",1811,"general",4.32
"90",1811,"this",3.25
"91",1812,"curious",7.29
"92",1812,"general",4.25
"93",1812,"this",3.16
"94",1813,"curious",7.68
"95",1813,"general",4.28
"96",1813,"this",3.01
"97",1814,"curious",7.6
"98",1814,"general",4.46
"99",1814,"this",3.1
"100",1815,"curious",7.13
"101",1815,"general",4.43
"102",1815,"this",3.16
"103",1816,"curious",7.26
"104",1816,"general",4.13
"105",1817,"curious",7.5
"106",1818,"curious",7.46
"107",1818,"that",3.01
"108",1819,"curious",7.56
"109",1820,"curious",7.84
"110",1820,"new",5.29
"111",1820,"this",3.03
"112",1821,"curious",7.83
"113",1822,"curious",7.83
"114",1822,"this",3.05
"115",1823,"curious",7.27
"116",1823,"that",3.12
"117",1824,"that",3.09
"118",1824,"if",3.01
"119",1825,"that",3.08
"120",1826,"that",3.06
"121",1827,"curious",6.93
"122",1827,"that",3.2
"123",1828,"curious",7.12
"124",1828,"interesting",6.62
"125",1828,"that",3.3
"126",1829,"curious",6.87
"127",1829,"interesting",6.62
"128",1829,"that",3.23
"129",1830,"interesting",6.72
"130",1830,"that",3.31
"131",1831,"interesting",6.4
"132",1831,"that",3.33
"133",1832,"interesting",6.19
"134",1832,"that",3.46
"135",1833,"interesting",6.04
"136",1833,"that",3.52
"137",1833,"this",3.01
"138",1834,"interesting",6.09
"139",1834,"that",3.63
"140",1834,"this",3.1
"141",1835,"important",5.33
"142",1835,"that",3.73
"143",1835,"this",3.21
"144",1836,"important",5.39
"145",1836,"that",3.78
"146",1836,"this",3.33
"147",1837,"that",3.74
"148",1837,"this",3.28
"149",1838,"important",5.33
"150",1838,"that",3.68
"151",1838,"this",3.36
"152",1839,"remarkable",5.13
"153",1839,"that",3.76
"154",1839,"this",3.38
"155",1840,"remarkable",5.14
"156",1840,"that",3.71
"157",1840,"this",3.32
"158",1841,"remarkable",5.13
"159",1841,"that",3.79
"160",1841,"this",3.36
"161",1842,"that",3.73
"162",1842,"this",3.14
"163",1843,"remarkable",5.1
"164",1843,"that",3.58
"165",1843,"this",3.37
"166",1844,"that",3.53
"167",1844,"this",3.2
"168",1845,"that",3.47
"169",1845,"this",3.07
"170",1846,"remarkable",4.99
"171",1846,"that",3.5
"172",1846,"this",3
"173",1847,"that",3.5
"174",1848,"that",3.46
"175",1848,"in",3.01
"176",1849,"that",3.5
"177",1849,"this",3.06
"178",1849,"in",3.02
"179",1850,"that",3.53
"180",1850,"in",3.05
"181",1851,"that",3.51
"182",1851,"in",3.14
"183",1852,"that",3.55
"184",1852,"in",3.19
"185",1853,"that",3.59
"186",1853,"in",3.23
"187",1854,"that",3.6
"188",1854,"in",3.26
"189",1855,"that",3.66
"190",1855,"in",3.26
"191",1856,"that",3.7
"192",1856,"in",3.26
"193",1857,"that",3.8
"194",1857,"in",3.23
"195",1858,"that",3.92
"196",1858,"in",3.15
"197",1859,"that",3.95
"198",1859,"in",3.22
"199",1860,"that",3.98
"200",1860,"in",3.24
"201",1861,"that",4.03
"202",1861,"in",3.24
"203",1862,"that",4.04
"204",1862,"in",3.22
"205",1863,"that",4.15
"206",1863,"in",3.18
"207",1864,"that",4.19
"208",1864,"in",3.11
"209",1865,"that",4.26
"210",1865,"in",3.05
"211",1866,"that",4.23
"212",1866,"in",3.08
"213",1867,"that",4.27
"214",1868,"that",4.22
"215",1869,"that",4.24
"216",1870,"that",4.38
"217",1871,"that",4.35
"218",1872,"that",4.41
"219",1873,"that",4.43
"220",1874,"that",4.49
"221",1875,"that",4.51
"222",1876,"that",4.6
"223",1877,"that",4.61
"224",1878,"that",4.65
"225",1878,"matter",4.34
"226",1879,"that",4.68
"227",1879,"matter",4.39
"228",1880,"matter",4.68
"229",1880,"that",4.64
"230",1881,"matter",4.74
"231",1881,"that",4.71
"232",1882,"matter",4.86
"233",1882,"that",4.73
"234",1883,"matter",4.86
"235",1883,"that",4.73
"236",1884,"matter",5.06
"237",1884,"that",4.74
"238",1885,"matter",4.95
"239",1885,"that",4.72
"240",1886,"matter",5.18
"241",1886,"that",4.71
"242",1887,"matter",5.21
"243",1887,"that",4.73
"244",1888,"matter",5.33
"245",1888,"that",4.75
"246",1889,"matter",5.34
"247",1889,"that",4.75
"248",1890,"matter",5.35
"249",1890,"that",4.77
"250",1891,"matter",5.45
"251",1891,"that",4.77
"252",1892,"matter",5.53
"253",1892,"that",4.78
"254",1892,"they",3.07
"255",1893,"matter",5.79
"256",1893,"that",4.81
"257",1893,"they",3.06
"258",1894,"matter",5.92
"259",1894,"that",4.8
"260",1895,"matter",6.16
"261",1895,"that",4.82
"262",1896,"matter",6.05
"263",1896,"that",4.84
"264",1896,"they",3.01
"265",1897,"matter",6.06
"266",1897,"that",4.86
"267",1897,"they",3.03
"268",1898,"matter",6.13
"269",1898,"that",4.88
"270",1899,"matter",6.26
"271",1899,"that",4.87
"272",1900,"matter",6.21
"273",1900,"that",4.88
"274",1901,"matter",6.26
"275",1901,"that",4.91
"276",1902,"matter",6.26
"277",1902,"that",4.92
"278",1903,"matter",6.08
"279",1903,"that",4.89
"280",1904,"matter",6.02
"281",1904,"that",4.92
"282",1905,"matter",5.95
"283",1905,"that",4.95
"284",1906,"matter",6.32
"285",1906,"that",4.94
"286",1907,"matter",6.41
"287",1907,"that",4.92
"288",1908,"matter",6.41
"289",1908,"that",4.92
"290",1909,"matter",6.21
"291",1909,"that",4.92
"292",1910,"matter",6.02
"293",1910,"that",4.93
"294",1911,"matter",5.99
"295",1911,"that",4.9
"296",1912,"matter",6.04
"297",1912,"that",4.88
"298",1913,"matter",6.1
"299",1913,"that",4.9
"300",1914,"matter",6.07
"301",1914,"that",4.89
"302",1915,"matter",6.17
"303",1915,"that",4.87
"304",1916,"matter",6.13
"305",1916,"that",4.87
"306",1917,"matter",5.97
"307",1917,"that",4.9
"308",1918,"matter",5.89
"309",1918,"that",4.94
"310",1919,"matter",5.92
"311",1919,"that",5.01
"312",1920,"matter",5.97
"313",1920,"that",4.99
"314",1921,"matter",6.2
"315",1921,"that",5.02
"316",1922,"matter",6.08
"317",1922,"that",5.08
"318",1923,"matter",6.1
"319",1923,"that",5.11
"320",1924,"matter",6.01
"321",1924,"that",5.13
"322",1925,"matter",5.83
"323",1925,"that",5.14
"324",1926,"that",5.15
"325",1927,"that",5.15
"326",1928,"that",5.14
"327",1929,"that",5.13
"328",1930,"that",5.14
"329",1931,"that",5.15
"330",1932,"that",5.1
"331",1933,"that",5.08
"332",1934,"that",5.08
"333",1935,"that",5.06
"334",1936,"that",4.99
"335",1937,"that",4.96
"336",1938,"that",4.77
"337",1939,"that",4.76
"338",1939,"in",3.07
"339",1940,"that",4.73
"340",1940,"in",3.1
"341",1941,"that",4.77
"342",1941,"in",3.05
"343",1942,"that",4.82
"344",1942,"in",3.05
"345",1943,"that",4.85
"346",1943,"in",3.1
"347",1944,"that",4.82
"348",1944,"in",3.1
"349",1945,"that",4.81
"350",1945,"in",3.13
"351",1946,"that",4.83
"352",1946,"in",3.12
"353",1947,"that",4.82
"354",1947,"in",3.13
"355",1948,"that",4.89
"356",1948,"in",3.08
"357",1949,"that",4.85
"358",1949,"in",3.11
