Year,Collocate,MI Score,Context,File,Directory,Frequency Filter
1675,matter,8.09,"irrational, if the matter of fact be true ; for they",rstl_1675_0037.txt,txt_rstl,
1685,matter,8.3,"Philosophy , trill matter of fact and experiment confirm it. ;",rstl_1685_0041.txt,txt_rstl,
1686,matter,8.12,"uncertainty, but the matter of FaCt be- ing most undoubted, the",rstl_1686_0017.txt,txt_rstl,
1694,matter,7.46,"now put the Matter of Fact out of Question, which I",rstl_1694_0041.txt,txt_rstl,
1699,matter,7.46,"Body. Nay, 'tis matter of Fact that they © frequently are",rstl_1699_0040.txt,txt_rstl,
1700,matter,7.77,"Well, to the matter Sf fact then, Z Mr Jobr Soxner,",rstl_1700_0089.txt,txt_rstl,
1702,matter,7.63,the Town the matter of fact was rue ; and 'tis,rstl_1702_0052.txt,txt_rstl,
1706,matter,7.77,Water 5 the matter of fact to m2 seems hard- Iy,rstl_1706_0051.txt,txt_rstl,
1708,matter,7.92,"""This is Matter . of Fact : known (143) known'to every",rstl_1708_0023.txt,txt_rstl,
1708,matter,7.92,as appears by matter of Fact ; which take as fol-,rstl_1708_0039.txt,txt_rstl,
1708,matter,7.92,on- > relace Matter of Fact as to the discovery of,rstl_1708_0062.txt,txt_rstl,
1714,of,3.23,Truth of the Matters of Fact in the within written: ©,rstl_1714_0059.txt,txt_rstl,
1714,of,3.23,Truth of the Matters of Fact in the within written: *,rstl_1714_0058.txt,txt_rstl,
1714,matter,8.46,shewn to be matter of Fact ; and that not only,rstl_1714_0058.txt,txt_rstl,
1714,of,3.23,shewn to be matter of Fact ; and that not only,rstl_1714_0058.txt,txt_rstl,
1746,this,3.33,eyident from this Experiment. This Fact does not depend upon my,rstl_1746_0119.txt,txt_rstl,
1751,this,3.02,afterwards become intirely female. This fact Mr. Miller has frequently him-,rstl_1751_0026.txt,txt_rstl,
1753,this,3.01,with eleQricity. This is a fact at pre- sent fo well,rstl_1753_0031.txt,txt_rstl,
1753,this,3.01,who was acquainted with this fact thirty years ago? Before that,rstl_1753_0031.txt,txt_rstl,
1753,this,3.01,"who could have related this fact with cir- cumstances so, proper",rstl_1753_0031.txt,txt_rstl,
1812,general,3.25,"general Observalions. It is a fact worthy of notice, that phosphoric",rstl_1812_0024.txt,txt_rstl,
1814,curious,6.6,"light, to which this curious fact must be ascribed,* The intensity",rstl_1814_0012.txt,txt_rstl,
1815,curious,6.13,"us to explain the curious fact observed by MALvs, relative to",rstl_1815_0019.txt,txt_rstl,
