"","Year","Collocate","MI Score"
"1",1670,"matter",7.99
"2",1671,"matter",7.83
"3",1673,"matter",7.81
"4",1675,"matter",8.09
"5",1676,"matter",7.71
"6",1677,"matter",8.13
"7",1678,"matter",8.19
"8",1679,"matter",8.19
"9",1680,"matter",8.19
"10",1681,"matter",8.19
"11",1682,"matter",8.19
"12",1683,"matter",8.19
"13",1684,"matter",8.12
"14",1685,"matter",8.3
"15",1686,"matter",8.12
"16",1694,"matter",7.46
"17",1699,"matter",7.46
"18",1700,"matter",7.77
"19",1701,"matter",7.63
"20",1702,"matter",7.63
"21",1703,"matter",7.71
"22",1704,"matter",7.68
"23",1705,"matter",7.77
"24",1706,"matter",7.77
"25",1707,"matter",7.72
"26",1708,"matter",7.92
"27",1711,"of",3.08
"28",1712,"of",3.08
"29",1713,"of",3.05
"30",1714,"matter",8.46
"31",1714,"of",3.23
"32",1744,"this",3.4
"33",1745,"this",3.43
"34",1746,"this",3.33
"35",1747,"this",3.05
"36",1750,"this",3.02
"37",1751,"this",3.02
"38",1752,"this",3.01
"39",1753,"this",3.01
"40",1803,"ascertained",4.83
"41",1804,"ascertained",5.01
"42",1805,"ascertained",5.02
"43",1806,"ascertained",5.08
"44",1809,"curious",6.54
"45",1810,"curious",6.17
"46",1811,"curious",6.13
"47",1811,"general",3.32
"48",1812,"curious",6.29
"49",1812,"general",3.25
"50",1813,"curious",6.68
"51",1813,"general",3.45
"52",1814,"curious",6.6
"53",1814,"general",3.61
"54",1815,"curious",6.13
"55",1815,"general",3.58
"56",1816,"curious",6.26
"57",1816,"general",3.3
"58",1817,"curious",6.61
"59",1817,"general",3.39
"60",1818,"curious",6.57
"61",1819,"curious",6.67
"62",1820,"curious",6.94
"63",1820,"new",4.29
"64",1821,"curious",6.93
"65",1822,"curious",6.93
"66",1823,"curious",6.41
"67",1825,"curious",6.35
"68",1827,"curious",5.93
"69",1828,"curious",6.31
"70",1828,"interesting",5.62
"71",1829,"curious",6.07
"72",1829,"interesting",5.62
"73",1830,"interesting",5.86
"74",1831,"interesting",5.55
"75",1832,"interesting",5.44
"76",1832,"remarkable",4.46
"77",1833,"interesting",5.32
"78",1833,"remarkable",4.33
"79",1834,"interesting",5.37
"80",1834,"remarkable",4.3
