"","Year","Collocate","MI Score"
"1",1746,"which",3.49
"2",1747,"which",3.6
"3",1748,"these",4.93
"4",1748,"which",3.37
"5",1749,"these",5.1
"6",1749,"which",3.44
"7",1750,"these",5.15
"8",1751,"these",5.15
"9",1752,"these",4.97
"10",1752,"which",3.18
"11",1753,"these",4.97
"12",1753,"which",3.18
"13",1754,"these",5.04
"14",1754,"which",3.31
"15",1755,"these",5.02
"16",1755,"which",3.25
"17",1769,"these",5.18
"18",1770,"these",5.2
"19",1771,"these",5.24
"20",1772,"these",5.19
"21",1773,"these",5.28
"22",1774,"these",5.33
"23",1775,"these",5.38
"24",1775,"which",3.03
"25",1776,"these",5.45
"26",1785,"these",5.48
"27",1786,"these",5.22
"28",1787,"these",5.22
"29",1788,"these",5.27
"30",1788,"are",3.37
"31",1789,"these",5.14
"32",1789,"have",3.31
"33",1789,"are",3.21
"34",1790,"these",5.02
"35",1790,"have",3.2
"36",1791,"these",5.05
"37",1791,"have",3.13
"38",1792,"these",5.01
"39",1792,"some",3.94
"40",1792,"have",3.12
"41",1793,"these",4.71
"42",1793,"some",4.26
"43",1793,"have",3.18
"44",1794,"these",4.67
"45",1794,"some",4.14
"46",1794,"have",3.25
"47",1795,"these",4.52
"48",1795,"some",4
"49",1795,"other",3.4
"50",1795,"have",3.27
"51",1796,"new",5.52
"52",1796,"these",4.53
"53",1796,"some",4.12
"54",1796,"other",3.2
"55",1796,"have",3.02
"56",1797,"new",5.42
"57",1797,"many",4.83
"58",1797,"these",4.67
"59",1797,"some",4.03
"60",1797,"have",3.19
"61",1797,"other",3.07
"62",1798,"many",5.2
"63",1798,"new",5.19
"64",1798,"these",4.46
"65",1798,"some",3.88
"66",1798,"other",3.42
"67",1798,"have",3.36
"68",1799,"prove",6.34
"69",1799,"new",5.4
"70",1799,"many",4.92
"71",1799,"these",4.51
"72",1799,"some",3.8
"73",1799,"other",3.4
"74",1799,"have",3.12
"75",1800,"new",5.11
"76",1800,"many",4.91
"77",1800,"these",4.63
"78",1800,"some",3.57
"79",1800,"other",3.47
"80",1800,"have",3.12
"81",1801,"new",5.22
"82",1801,"many",4.82
"83",1801,"these",4.53
"84",1801,"some",3.49
"85",1801,"have",3.04
"86",1802,"new",5.28
"87",1802,"many",4.8
"88",1802,"these",4.53
"89",1802,"some",3.2
"90",1802,"other",3.06
"91",1803,"new",5.21
"92",1803,"many",4.86
"93",1803,"these",4.68
"94",1803,"some",3.07
"95",1803,"have",3
"96",1804,"new",4.98
"97",1804,"many",4.94
"98",1804,"these",4.72
"99",1804,"appear",4.61
"100",1804,"other",3.14
"101",1805,"preceding",5.32
"102",1805,"new",4.92
"103",1805,"these",4.68
"104",1805,"many",4.64
"105",1805,"have",3.2
"106",1805,"some",3.1
"107",1806,"new",5.01
"108",1806,"these",4.74
"109",1806,"number",4.19
"110",1806,"have",3.27
"111",1806,"all",3.11
"112",1806,"other",3.09
"113",1806,"some",3.03
"114",1807,"new",5.04
"115",1807,"these",4.65
"116",1807,"number",4.35
"117",1807,"other",3.18
"118",1807,"all",3.14
"119",1807,"have",3.09
"120",1808,"new",5.18
"121",1808,"these",4.81
"122",1808,"some",3.41
"123",1808,"have",3.19
"124",1808,"other",3.06
"125",1809,"new",4.94
"126",1809,"these",4.91
"127",1809,"some",3.33
"128",1809,"have",3.11
"129",1809,"which",3.06
"130",1810,"new",5.02
"131",1810,"these",4.97
"132",1810,"which",3.12
"133",1810,"have",3.1
"134",1811,"many",5.3
"135",1811,"these",5
"136",1811,"new",4.94
"137",1811,"have",3.24
"138",1811,"which",3.15
"139",1812,"many",5.54
"140",1812,"these",5.07
"141",1812,"new",4.95
"142",1812,"some",3.72
"143",1812,"have",3.4
"144",1812,"which",3.2
"145",1813,"many",5.51
"146",1813,"new",4.98
"147",1813,"these",4.91
"148",1813,"have",3.36
"149",1813,"which",3.05
"150",1814,"new",5.31
"151",1814,"many",5.15
"152",1814,"these",4.86
"153",1814,"have",3.23
"154",1814,"which",3.04
"155",1815,"propriety",10.02
"156",1815,"curious",7.58
"157",1815,"respecting",7.16
"158",1815,"many",5.61
"159",1815,"new",5.33
"160",1815,"these",4.89
"161",1815,"some",4.34
"162",1815,"have",3.17
"163",1815,"which",3.06
"164",1816,"propriety",10.23
"165",1816,"curious",7.7
"166",1816,"respecting",7.21
"167",1816,"many",5.92
"168",1816,"new",5.6
"169",1816,"following",5.24
"170",1816,"these",4.68
"171",1816,"some",4.36
"172",1816,"which",3.17
"173",1816,"have",3.16
"174",1817,"propriety",10.09
"175",1817,"curious",7.84
