No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,that,16571,6.05,166,205,3.78
2,this,10376,3.79,76,205,3.33
3,in,42388,15.48,167,221,2.43
4,from,11055,4.04,28,208,1.79
5,is,19349,7.06,43,221,1.61
6,by,17209,6.28,35,222,1.48
7,a,30618,11.18,56,221,1.32
8,is,19349,7.06,34,221,1.27
9,be,13640,4.98,21,218,1.08
10,the,160019,58.42,226,222,0.95
11,which,16129,5.89,22,211,0.90
12,it,15072,5.50,19,211,0.79
13,by,17209,6.28,17,222,0.44
14,in,42388,15.48,38,221,0.30
15,a,30618,11.18,26,221,0.22
16,to,36060,13.17,29,222,0.14
17,the,160019,58.42,128,222,0.13
18,and,40584,14.82,21,222,-0.50
19,of,93505,34.14,46,222,-0.57
20,of,93505,34.14,31,222,-1.14
