https://example.com/collocation-analysis
There are 1066007 different words in your collocation database for "fact". (Your query returned 1065 matches in 301 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	curious	118	0.03	13	71	6.68
2	this	7386	1.98	41	282	2.37
3	that	11207	3.01	56	278	2.22
4	in	24382	6.54	94	295	1.84
5	is	13005	3.49	41	288	1.55
6	i	7142	1.92	19	284	1.31
7	but	3929	1.05	10	286	1.25
8	it	11054	2.97	24	279	1.02
9	is	13005	3.49	28	288	1.00
10	which	10296	2.76	21	283	0.93
11	by	11144	2.99	21	295	0.81
12	a	22181	5.95	41	300	0.78
13	from	7346	1.97	12	286	0.61
14	be	10211	2.74	16	283	0.55
15	this	7386	1.98	11	282	0.47
16	a	22181	5.95	33	300	0.47
17	the	100036	26.84	145	299	0.43
18	was	7218	1.94	10	272	0.37
19	as	8013	2.15	10	281	0.22
20	as	8013	2.15	10	281	0.22
21	of	62890	16.87	76	296	0.17
22	in	24382	6.54	29	295	0.15
23	it	11054	2.97	13	279	0.13
24	be	10211	2.74	12	283	0.13
25	which	10296	2.76	12	283	0.12
26	that	11207	3.01	13	278	0.11
27	and	26481	7.10	30	298	0.08
28	the	100036	26.84	104	299	-0.05
29	by	11144	2.99	11	295	-0.12
30	to	24188	6.49	22	288	-0.24
31	to	24188	6.49	21	288	-0.31
32	of	62890	16.87	48	296	-0.49
33	and	26481	7.10	18	298	-0.66
