No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,5103,1.17,43,189,4.20
2,i,8763,2.01,27,198,2.75
3,which,14970,3.43,39,205,2.51
4,from,10987,2.52,22,201,2.13
5,are,8017,1.84,15,208,2.03
6,in,41078,9.42,48,214,1.35
7,it,14074,3.23,16,206,1.31
8,the,154417,35.40,161,214,1.19
9,and,38761,8.89,35,214,0.98
10,of,89637,20.55,67,214,0.70
11,to,34867,7.99,23,213,0.52
12,and,38761,8.89,15,214,-0.24
13,of,89637,20.55,22,214,-0.90
14,the,154417,35.40,27,214,-1.39
