No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,new,796,0.14,11,141,6.31
2,these,2875,0.50,23,260,5.52
3,many,645,0.11,5,198,5.48
4,following,828,0.14,6,193,5.38
5,some,1750,0.30,5,254,4.04
6,which,10496,1.83,27,281,3.89
7,we,3605,0.63,8,196,3.67
8,or,4866,0.85,10,276,3.56
9,that,11683,2.03,15,277,2.88
10,the,105439,18.36,61,298,1.73
11,and,27413,4.77,10,297,1.07
12,of,64256,11.19,13,295,0.22
13,in,25290,4.40,5,293,0.18
14,of,64256,11.19,8,295,-0.48
