https://example.com/collocation-analysis There are 1032189 different words in your collocation database for "fact". (Your query returned 365 matches in 121 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	despite	31	0.03	6	15	7.62
2	emerges	27	0.03	5	15	7.56
3	curious	49	0.05	6	29	6.96
4	spite	84	0.08	9	40	6.77
5	complicated	112	0.11	8	50	6.18
6	attention	144	0.14	10	68	6.14
7	supported	189	0.19	13	55	6.13
8	owing	411	0.40	24	86	5.89
9	remarkable	153	0.15	6	47	5.32
10	due	1270	1.25	45	113	5.17
11	striking	189	0.19	5	56	4.75
12	view	1010	0.99	24	110	4.60
13	apart	270	0.27	6	66	4.50
14	interesting	291	0.29	6	76	4.39
15	account	795	0.78	14	112	4.16
16	important	422	0.41	7	92	4.08
17	experimental	430	0.42	6	66	3.83
18	lie	1046	1.03	13	84	3.66
19	following	840	0.83	8	117	3.28
20	remains	538	0.53	5	88	3.24
21	far	773	0.76	7	105	3.20
22	many	1048	1.03	9	105	3.13
23	already	645	0.63	5	102	2.98
24	chromosome	647	0.64	5	6	2.98
25	observed	1072	1.05	7	96	2.73
26	appears	824	0.81	5	107	2.63
27	shown	2107	2.07	12	118	2.54
28	whole	1061	1.04	6	104	2.53
29	evidence	975	0.96	5	84	2.38
30	made	1757	1.73	7	120	2.02
31	must	1374	1.35	5	115	1.89
32	found	2726	2.68	9	119	1.75
33	case	2278	2.24	7	110	1.65
34	function	1660	1.63	5	69	1.62
35	would	1733	1.70	5	116	1.55
36	large	2233	2.19	6	118	1.45
37	may	4421	4.34	11	118	1.34
38	sulcus	2485	2.44	6	5	1.30
39	show	2331	2.29	5	114	1.13
40	value	4581	4.50	7	94	0.64
41	cell	5213	5.12	5	48	-0.03
