https://example.com/collocation-analysis There are 1200203 different words in your collocation database for "fact". (Your query returned 401 matches in 150 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	spite	120	0.11	18	51	7.32
2	borne	98	0.09	9	38	6.62
3	confirmed	132	0.12	7	55	5.82
4	concerning	166	0.16	8	51	5.69
5	supported	105	0.10	5	49	5.67
6	arises	262	0.25	12	68	5.61
7	owing	354	0.33	14	87	5.40
8	view	1150	1.08	26	108	4.59
9	account	721	0.67	16	108	4.57
10	due	1441	1.35	27	140	4.32
11	drawn	377	0.35	7	92	4.31
12	suggests	270	0.25	5	84	4.31
13	differ	395	0.37	7	100	4.24
14	arise	305	0.29	5	74	4.13
15	apart	317	0.30	5	94	4.08
16	actual	323	0.30	5	93	4.05
17	lie	1009	0.94	11	90	3.54
18	using	912	0.85	9	120	3.40
19	main	755	0.71	6	107	3.09
20	use	926	0.87	7	134	3.01
21	far	709	0.66	5	117	2.91
22	observed	1153	1.08	8	109	2.89
23	occur	722	0.68	5	110	2.89
24	follows	1073	1.00	7	109	2.80
25	usually	786	0.74	5	97	2.77
26	following	1042	0.97	6	141	2.62
27	larva	1224	1.15	7	8	2.61
28	observed	1153	1.08	6	109	2.48
29	many	1018	0.95	5	124	2.39
30	although	1087	1.02	5	119	2.30
31	development	1113	1.04	5	81	2.26
32	even	1115	1.04	5	136	2.26
33	experiment	1389	1.30	6	48	2.21
34	however	1912	1.79	8	38	2.16
35	however	1912	1.79	6	38	1.75
36	specimen	2333	2.18	7	46	1.68
37	obtained	2028	1.90	6	142	1.66
38	give	1793	1.68	5	140	1.58
39	shown	2292	2.14	6	142	1.48
40	mean	2013	1.88	5	90	1.41
41	term	2176	2.04	5	98	1.30
42	cell	3132	2.93	7	35	1.26
43	type	2432	2.28	5	129	1.14
44	would	2433	2.28	5	147	1.14
45	also	3410	3.19	7	148	1.13
46	found	2446	2.29	5	146	1.13
47	part	3594	3.36	6	146	0.84
48	case	3091	2.89	5	139	0.79
49	part	3594	3.36	5	146	0.57
50	equation	3689	3.45	5	88	0.53
51	figure	7051	6.60	9	127	0.45
52	value	4816	4.51	5	133	0.15
53	may	5125	4.80	5	150	0.06
