No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,despite,16,0.02,6,9,8.24
2,emphasise,30,0.04,7,19,7.56
3,reveals,35,0.04,7,17,7.34
4,notwithstanding,29,0.04,5,21,7.12
5,spite,125,0.15,15,64,6.60
6,matter,545,0.67,41,113,5.93
7,supported,148,0.18,11,63,5.91
8,attention,259,0.32,19,90,5.89
9,owing,565,0.70,37,123,5.73
10,striking,208,0.26,12,74,5.54
11,curious,98,0.12,5,50,5.37
12,affords,98,0.12,5,51,5.37
13,established,172,0.21,8,70,5.23
14,brought,262,0.32,12,100,5.21
15,due,1861,2.30,61,155,4.73
16,accordance,156,0.19,5,73,4.70
17,led,192,0.24,5,89,4.40
18,experimental,523,0.65,13,83,4.33
19,remarkable,332,0.41,8,100,4.28
20,important,791,0.98,18,142,4.20
21,view,1173,1.45,24,139,4.05
22,actual,657,0.81,13,136,4.00
23,beyond,409,0.51,8,105,3.98
24,interesting,414,0.51,8,120,3.97
25,account,949,1.17,18,138,3.94
26,depends,274,0.34,5,94,3.88
27,lie,1160,1.43,18,109,3.65
28,seem,540,0.67,8,115,3.58
29,known,1027,1.27,11,142,3.11
30,record,476,0.59,5,75,3.09
31,consideration,477,0.59,5,96,3.08
32,connected,482,0.60,5,109,3.07
33,indicated,583,0.72,5,119,2.79
34,colour,769,0.95,6,31,2.66
35,shown,2310,2.86,18,160,2.66
36,important,791,0.98,6,142,2.62
37,many,1192,1.47,9,147,2.61
38,somewhat,744,0.92,5,124,2.44
39,simple,749,0.93,5,131,2.43
40,observed,1971,2.44,13,131,2.41
41,following,1419,1.76,9,157,2.36
42,new,952,1.18,6,136,2.35
43,observed,1971,2.44,12,131,2.30
44,point,3434,4.25,20,158,2.24
45,lead,865,1.07,5,105,2.22
46,seems,895,1.11,5,131,2.18
47,although,916,1.13,5,121,2.14
48,however,2288,2.83,11,66,1.96
49,certain,1251,1.55,6,151,1.96
50,great,1268,1.57,6,153,1.94
51,upon,1540,1.90,7,116,1.88
52,find,1103,1.36,5,139,1.87
53,appear,1109,1.37,5,146,1.87
54,found,3158,3.91,13,162,1.73
55,appears,1224,1.51,5,146,1.72
56,scale,1249,1.54,5,76,1.69
57,theory,1555,1.92,6,102,1.64
58,may,6056,7.49,23,164,1.62
59,set,1352,1.67,5,136,1.58
60,figure,1370,1.69,5,99,1.56
61,whole,1380,1.71,5,160,1.55
62,far,1395,1.73,5,153,1.53
63,far,1395,1.73,5,153,1.53
64,must,1978,2.45,7,158,1.52
65,observation,2034,2.52,7,96,1.48
66,shown,2310,2.86,7,160,1.29
67,method,1991,2.46,6,147,1.28
68,specimen,2044,2.53,6,59,1.25
69,difference,1832,2.27,5,146,1.14
70,right,1944,2.40,5,128,1.06
71,give,2360,2.92,6,156,1.04
72,found,3158,3.91,8,162,1.03
73,method,1991,2.46,5,147,1.02
74,also,3615,4.47,9,161,1.01
75,curve,3239,4.01,8,101,1.00
76,result,3673,4.54,9,146,0.99
77,structure,2165,2.68,5,76,0.90
78,condition,2166,2.68,5,126,0.90
79,condition,2166,2.68,5,126,0.90
80,present,2645,3.27,6,163,0.87
81,number,2708,3.35,6,156,0.84
82,line,5027,6.22,11,141,0.82
83,pressure,2287,2.83,5,85,0.82
84,case,5062,6.26,11,160,0.81
85,curve,3239,4.01,7,101,0.81
86,experiment,2827,3.50,6,71,0.78
87,made,2440,3.02,5,160,0.73
88,case,5062,6.26,10,160,0.68
89,value,6699,8.29,13,129,0.65
90,large,2617,3.24,5,158,0.63
91,would,3306,4.09,6,163,0.55
92,show,2949,3.65,5,157,0.45
93,may,6056,7.49,10,164,0.42
94,line,5027,6.22,8,141,0.36
95,series,3179,3.93,5,151,0.35
96,series,3179,3.93,5,151,0.35
97,first,3917,4.84,6,164,0.31
98,form,4601,5.69,7,161,0.30
99,point,3434,4.25,5,158,0.24
100,small,3445,4.26,5,161,0.23
