Collocate,Start:1665_Nodes:0,Start:1666_Nodes:0,Start:1667_Nodes:0,Start:1668_Nodes:0,Start:1669_Nodes:0,Start:1670_Nodes:0,Start:1671_Nodes:0,Start:1672_Nodes:0,Start:1673_Nodes:0,Start:1674_Nodes:0,Start:1675_Nodes:0,Start:1676_Nodes:0,Start:1677_Nodes:0,Start:1678_Nodes:0,Start:1679_Nodes:0,Start:1680_Nodes:0,Start:1681_Nodes:0,Start:1682_Nodes:0,Start:1683_Nodes:0,Start:1684_Nodes:0,Start:1685_Nodes:0,Start:1686_Nodes:0,Start:1687_Nodes:0,Start:1688_Nodes:0,Start:1689_Nodes:0,Start:1690_Nodes:0,Start:1691_Nodes:0,Start:1692_Nodes:0,Start:1693_Nodes:0,Start:1694_Nodes:0,Start:1695_Nodes:0,Start:1696_Nodes:0,Start:1697_Nodes:0,Start:1698_Nodes:0,Start:1699_Nodes:0,Start:1700_Nodes:0,Start:1701_Nodes:0,Start:1702_Nodes:0,Start:1703_Nodes:0,Start:1704_Nodes:0,Start:1705_Nodes:0,Start:1706_Nodes:0,Start:1707_Nodes:0,Start:1708_Nodes:0,Start:1709_Nodes:0,Start:1710_Nodes:0,Start:1711_Nodes:0,Start:1712_Nodes:0,Start:1713_Nodes:0,Start:1714_Nodes:0,Start:1715_Nodes:0,Start:1716_Nodes:0,Start:1717_Nodes:0,Start:1718_Nodes:0,Start:1719_Nodes:0,Start:1720_Nodes:0,Start:1721_Nodes:0,Start:1722_Nodes:0,Start:1723_Nodes:0,Start:1724_Nodes:0,Start:1725_Nodes:0,Start:1726_Nodes:0,Start:1727_Nodes:0,Start:1728_Nodes:0,Start:1729_Nodes:0,Start:1730_Nodes:0,Start:1731_Nodes:0,Start:1732_Nodes:0,Start:1733_Nodes:0,Start:1734_Nodes:0,Start:1735_Nodes:0,Start:1736_Nodes:0,Start:1737_Nodes:0,Start:1738_Nodes:0,Start:1739_Nodes:0,Start:1740_Nodes:0,Start:1741_Nodes:0,Start:1742_Nodes:0,Start:1743_Nodes:0,Start:1744_Nodes:0,Start:1745_Nodes:0,Start:1746_Nodes:0,Start:1747_Nodes:0,Start:1748_Nodes:0,Start:1749_Nodes:0,Start:1750_Nodes:0,Start:1751_Nodes:0,Start:1752_Nodes:0,Start:1753_Nodes:0,Start:1754_Nodes:0,Start:1755_Nodes:0,Start:1756_Nodes:0,Start:1757_Nodes:0,Start:1758_Nodes:0,Start:1759_Nodes:0,Start:1760_Nodes:0,Start:1761_Nodes:0,Start:1762_Nodes:0,Start:1763_Nodes:0,Start:1764_Nodes:0,Start:1765_Nodes:0,Start:1766_Nodes:0,Start:1767_Nodes:0,Start:1768_Nodes:0,Start:1769_Nodes:0,Start:1770_Nodes:0,Start:1771_Nodes:0,Start:1772_Nodes:0,Start:1773_Nodes:0,Start:1774_Nodes:0,Start:1775_Nodes:0,Start:1776_Nodes:0,Start:1777_Nodes:0,Start:1778_Nodes:0,Start:1779_Nodes:0,Start:1780_Nodes:0,Start:1781_Nodes:0,Start:1782_Nodes:0,Start:1783_Nodes:0,Start:1784_Nodes:0,Start:1785_Nodes:0,Start:1786_Nodes:0,Start:1787_Nodes:0,Start:1788_Nodes:0,Start:1789_Nodes:0,Start:1790_Nodes:0,Start:1791_Nodes:0,Start:1792_Nodes:0,Start:1793_Nodes:0,Start:1794_Nodes:0,Start:1795_Nodes:0,Start:1796_Nodes:0,Start:1797_Nodes:0,Start:1798_Nodes:0,Start:1799_Nodes:0,Start:1800_Nodes:0,Start:1801_Nodes:0,Start:1802_Nodes:0,Start:1803_Nodes:0,Start:1804_Nodes:0,Start:1805_Nodes:0,Start:1806_Nodes:0,Start:1807_Nodes:0,Start:1808_Nodes:0,Start:1809_Nodes:0,Start:1810_Nodes:0,Start:1811_Nodes:0,Start:1812_Nodes:0,Start:1813_Nodes:0,Start:1814_Nodes:0,Start:1815_Nodes:0,Start:1816_Nodes:0,Start:1817_Nodes:0,Start:1818_Nodes:0,Start:1819_Nodes:0,Start:1820_Nodes:0,Start:1821_Nodes:0,Start:1822_Nodes:0,Start:1823_Nodes:0,Start:1824_Nodes:0,Start:1825_Nodes:0,Start:1826_Nodes:0,Start:1827_Nodes:0,Start:1828_Nodes:0,Start:1829_Nodes:0,Start:1830_Nodes:0,Start:1831_Nodes:0,Start:1832_Nodes:0,Start:1833_Nodes:0,Start:1834_Nodes:0,Start:1835_Nodes:0,Start:1836_Nodes:0,Start:1837_Nodes:0,Start:1838_Nodes:0,Start:1839_Nodes:0,Start:1840_Nodes:0,Start:1841_Nodes:0,Start:1842_Nodes:0,Start:1843_Nodes:0,Start:1844_Nodes:0,Start:1845_Nodes:0,Start:1846_Nodes:0,Start:1847_Nodes:0,Start:1848_Nodes:0,Start:1849_Nodes:0,Start:1850_Nodes:0,Start:1851_Nodes:0,Start:1852_Nodes:0,Start:1853_Nodes:0,Start:1854_Nodes:0,Start:1855_Nodes:0,Start:1856_Nodes:0,Start:1857_Nodes:0,Start:1858_Nodes:0,Start:1859_Nodes:0,Start:1860_Nodes:0,Start:1861_Nodes:0,Start:1862_Nodes:0,Start:1863_Nodes:0,Start:1864_Nodes:0,Start:1865_Nodes:0,Start:1866_Nodes:0,Start:1867_Nodes:0,Start:1868_Nodes:0,Start:1869_Nodes:0,Start:1870_Nodes:0,Start:1871_Nodes:0,Start:1872_Nodes:0,Start:1873_Nodes:0,Start:1874_Nodes:0,Start:1875_Nodes:0,Start:1876_Nodes:0,Start:1877_Nodes:0,Start:1878_Nodes:0,Start:1879_Nodes:0,Start:1880_Nodes:0,Start:1881_Nodes:0,Start:1882_Nodes:0,Start:1883_Nodes:0,Start:1884_Nodes:0,Start:1885_Nodes:0,Start:1886_Nodes:0,Start:1887_Nodes:0,Start:1888_Nodes:0,Start:1889_Nodes:0,Start:1890_Nodes:0,Start:1891_Nodes:0,Start:1892_Nodes:0,Start:1893_Nodes:0,Start:1894_Nodes:0,Start:1895_Nodes:0,Start:1896_Nodes:0,Start:1897_Nodes:0,Start:1898_Nodes:0,Start:1899_Nodes:0,Start:1900_Nodes:0,Start:1901_Nodes:0,Start:1902_Nodes:0,Start:1903_Nodes:0,Start:1904_Nodes:0,Start:1905_Nodes:0,Start:1906_Nodes:0,Start:1907_Nodes:0,Start:1908_Nodes:0,Start:1909_Nodes:0,Start:1910_Nodes:0,Start:1911_Nodes:0,Start:1912_Nodes:0,Start:1913_Nodes:0,Start:1914_Nodes:0,Start:1915_Nodes:0,Start:1916_Nodes:0,Start:1917_Nodes:0,Start:1918_Nodes:0,Start:1919_Nodes:0,Start:1920_Nodes:0,Start:1921_Nodes:0,Start:1922_Nodes:0,Start:1923_Nodes:0,Start:1924_Nodes:0,Start:1925_Nodes:0,Start:1926_Nodes:0,Start:1927_Nodes:0,Start:1928_Nodes:0,Start:1929_Nodes:0,Start:1930_Nodes:0,Start:1931_Nodes:0,Start:1932_Nodes:0,Start:1933_Nodes:0,Start:1934_Nodes:0,Start:1935_Nodes:0,Start:1936_Nodes:0,Start:1937_Nodes:0,Start:1938_Nodes:0,Start:1939_Nodes:0,Start:1940_Nodes:0,Start:1941_Nodes:0,Start:1942_Nodes:0,Start:1943_Nodes:0,Start:1944_Nodes:0,Start:1945_Nodes:0,Start:1946_Nodes:0,Start:1947_Nodes:0,Start:1948_Nodes:0,Start:1949_Nodes:0,Start:1950_Nodes:0,Start:1951_Nodes:0,Start:1952_Nodes:0,Start:1953_Nodes:0,Start:1954_Nodes:0,Start:1955_Nodes:0,Start:1956_Nodes:0,Start:1957_Nodes:0,Start:1958_Nodes:0,Start:1959_Nodes:0,Start:1960_Nodes:0,Start:1961_Nodes:0,Start:1962_Nodes:0,Start:1963_Nodes:0,Start:1964_Nodes:0,Start:1965_Nodes:0,Start:1966_Nodes:0,Start:1967_Nodes:0,Start:1968_Nodes:0,Start:1969_Nodes:0,Start:1970_Nodes:0,Start:1971_Nodes:0,Start:1972_Nodes:0,Start:1973_Nodes:0,Start:1974_Nodes:0,Start:1975_Nodes:0,Start:1976_Nodes:0,Start:1977_Nodes:0,Start:1978_Nodes:0,Start:1979_Nodes:0,Start:1980_Nodes:0,Start:1981_Nodes:0,Start:1982_Nodes:0,Start:1983_Nodes:0,Start:1984_Nodes:0,Start:1985_Nodes:0,Start:1986_Nodes:0,Start:1987_Nodes:0,Start:1988_Nodes:0,Start:1989_Nodes:0,Start:1990_Nodes:0,Start:1991_Nodes:0,Start:1992_Nodes:0,Start:1993_Nodes:0,Start:1994_Nodes:0,Start:1995_Nodes:0,Start:1996_Nodes:0,Start:1997_Nodes:0,Start:1998_Nodes:0,Start:1999_Nodes:0,Start:2000_Nodes:0,Start:2001_Nodes:0,Start:2002_Nodes:0,Start:2003_Nodes:0,Start:2004_Nodes:0,Start:2005_Nodes:0,Start:2006_Nodes:0,Start:2007_Nodes:0,Start:2008_Nodes:0,Start:2009_Nodes:0,Start:2010_Nodes:0,Start:2011_Nodes:0,Start:2012_Nodes:0,Start:2013_Nodes:0,Start:2014_Nodes:0,Start:2015_Nodes:0,Start:2016_Nodes:0,Start:2017_Nodes:0,Start:2018_Nodes:0,Start:2019_Nodes:0,Start:2020_Nodes:0,
matter,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
known,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
many,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
important,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
respecting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
new,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
following,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
state,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
case,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
however,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
