No.,Word,Total no. in whole corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,14,0.01,5,10,9.43
2,certainty,19,0.01,5,11,8.99
3,curious,58,0.03,9,30,8.22
4,collect,20,0.01,2,17,7.59
5,statement,34,0.02,2,11,6.83
6,principal,87,0.05,5,46,6.79
7,extraordinary,35,0.02,2,24,6.78
8,singular,56,0.03,3,26,6.69
9,really,38,0.02,2,26,6.66
10,new,217,0.11,10,67,6.47
11,noticed,94,0.05,4,32,6.36
12,discovered,71,0.04,3,36,6.35
13,respecting,73,0.04,3,40,6.31
14,stated,171,0.09,7,62,6.30
15,anatomy,52,0.03,2,7,6.21
16,prove,56,0.03,2,40,6.11
17,variety,56,0.03,2,32,6.11
18,depends,59,0.03,2,29,6.03
19,seemed,60,0.03,2,33,6.01
20,important,103,0.05,3,55,5.81
