https://example.com/collocation-analysis
There are 184506 different words in your collocation database. (Your query returned 914 matches in 65 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	significant	36	0.04	6	19	7.15
2	relating	75	0.09	7	33	6.32
3	curious	97	0.11	9	46	6.31
4	spite	101	0.12	9	48	6.25
5	establish	67	0.08	5	39	5.99
6	demonstrated	106	0.12	6	34	5.60
7	anatomical	135	0.16	7	24	5.47
8	accounted	104	0.12	5	53	5.36
9	attention	376	0.44	18	92	5.35
10	confirmed	131	0.15	5	61	5.03
11	explain	162	0.19	6	68	4.98
12	interesting	292	0.34	10	96	4.87
13	accordance	148	0.17	5	54	4.85
14	explanation	356	0.42	12	97	4.85
15	owing	572	0.67	19	112	4.83
16	proved	337	0.39	11	107	4.80
17	matter	1261	1.48	41	108	4.80
18	striking	249	0.29	8	70	4.78
19	mention	159	0.19	5	46	4.75
20	established	193	0.23	6	60	4.73
21	important	623	0.73	18	136	4.63
22	mere	177	0.21	5	66	4.59
23	due	2032	2.38	53	146	4.48
24	supported	199	0.23	5	61	4.42
25	remarkable	312	0.37	7	85	4.26
26	explained	229	0.27	5	69	4.22
27	previously	480	0.56	9	112	4.00
28	main	385	0.45	7	81	3.96
29	noted	407	0.48	7	69	3.88
30	consequence	306	0.36	5	69	3.80
31	brought	433	0.51	7	105	3.79
32	lie	842	0.99	13	92	3.72
33	already	1232	1.44	19	145	3.72
34	account	840	0.98	12	137	3.61
35	known	933	1.09	13	142	3.57
36	seem	487	0.57	6	100	3.40
37	represent	414	0.48	5	103	3.37
38	noticed	419	0.49	5	104	3.35
39	experimental	521	0.61	6	73	3.30
40	evident	529	0.62	6	101	3.28
41	consideration	457	0.53	5	83	3.22
42	mentioned	461	0.54	5	95	3.21
43	shown	2179	2.55	23	161	3.17
44	drawn	584	0.68	6	121	3.13
45	stated	521	0.61	5	107	3.04
46	shall	656	0.77	6	105	2.97
47	view	1203	1.41	11	113	2.97
48	taking	578	0.68	5	125	2.89
49	doubt	580	0.68	5	103	2.88
50	certain	1417	1.66	12	146	2.86
51	remains	650	0.76	5	118	2.72
52	evidence	1054	1.23	8	107	2.70
53	connected	794	0.93	6	123	2.69
54	appear	1148	1.34	8	139	2.57
55	following	1835	2.15	12	155	2.48
56	considerable	788	0.92	5	134	2.44
57	new	801	0.94	5	121	2.42
58	observed	1808	2.12	11	133	2.38
59	bundle	993	1.16	6	21	2.37
60	always	925	1.08	5	144	2.21
61	electric	938	1.10	5	52	2.19
62	almost	1025	1.20	5	133	2.06
63	although	1053	1.23	5	123	2.02
64	upon	2598	3.04	12	123	1.98
65	find	1334	1.56	6	140	1.94
66	observed	1808	2.12	8	133	1.92
67	certain	1417	1.66	6	146	1.86
68	group	1278	1.50	5	84	1.74
69	still	1279	1.50	5	145	1.74
70	taken	2065	2.42	8	161	1.73
71	since	1315	1.54	5	141	1.70
72	may	6895	8.07	26	167	1.69
73	theory	1419	1.66	5	73	1.59
74	light	1425	1.67	5	113	1.58
75	case	5737	6.71	20	158	1.57
76	described	1733	2.03	6	137	1.56
77	shown	2179	2.55	7	161	1.46
78	far	1561	1.83	5	156	1.45
79	would	3336	3.90	10	161	1.36
80	present	2359	2.76	7	150	1.34
81	similar	1703	1.99	5	159	1.33
82	well	1739	2.03	5	159	1.30
83	however	2514	2.94	7	81	1.25
84	however	2514	2.94	7	81	1.25
85	observation	2616	3.06	7	90	1.19
86	condition	2289	2.68	6	119	1.16
87	gas	1967	2.30	5	74	1.12
88	gas	1967	2.30	5	74	1.12
89	series	2046	2.39	5	148	1.06
90	also	4159	4.87	10	167	1.04
91	much	2197	2.57	5	156	0.96
92	found	3586	4.20	8	166	0.93
93	thus	2886	3.38	6	161	0.83
94	observation	2616	3.06	5	90	0.71
95	change	2643	3.09	5	137	0.69
96	first	4281	5.01	8	166	0.68
97	result	4307	5.04	8	149	0.67
98	curve	2706	3.17	5	85	0.66
99	show	2889	3.38	5	161	0.56
100	also	4159	4.87	7	167	0.52
101	point	3990	4.67	6	158	0.36
102	experiment	4742	5.55	7	90	0.34
103	fibre	3782	4.43	5	19	0.18
104	time	3856	4.51	5	152	0.15
105	number	3925	4.59	5	156	0.12
106	case	5737	6.71	7	158	0.06
107	fig	8266	9.67	10	35	0.05
108	temperature	4174	4.88	5	84	0.03
109	cell	4412	5.16	5	48	-0.05
110	may	6895	8.07	7	167	-0.20
