https://cqpweb.lancs.ac.uk/eebov3/concordance.php?pp=1&theData=%7Bwhore%2FN%7D&qmode=sq_nocase&del=begin%26t%3D-%7Cyear%7E1614%26t%3D-%7Cyear%7E1615%26t%3D-%7Cyear%7E1616%26t%3D-%7Cyear%7E1617%26t%3D-%7Cyear%7E1618%26t%3D-%7Cyear%7E1619%26t%3D-%7Cyear%7E1620%26t%3D-%7Cyear%7E1621%26t%3D-%7Cyear%7E1622%26t%3D-%7Cyear%7E1623&del=end&uT=yThere are 2,400 different words in your collocation database for "[lemma="(whore)_SUBST"%c]". (Your query "{whore/N}", restricted to texts meeting criteria "<em>year</em>: <em>1614</em> or <em>1615</em> or <em>1616</em> or <em>1617</em> or <em>1618</em> or <em>1619</em> or <em>1620</em> or <em>1621</em> or <em>1622</em> or <em>1623</em>",  returned 1,318 matches in 326 different texts)  
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	shamelsse	5	0	2	1	14.288
2	Betris	9	0	2	1	14.288
3	bowling-alleys	10	0	1	1	13.288
4	acccursed	5	0	1	1	13.288
5	WEL-TRI	12	0	1	1	13.288
6	purchs	7	0	1	1	13.288
7	Well-tri	5	0	1	1	13.288
8	4362	10	0	1	1	13.288
9	Hyene	12	0	1	1	13.288
10	Exanthus	7	0	1	1	13.288
11	Prisse	6	0	1	1	13.288
12	fizes	15	0	2	1	13.288
13	adges	11	0	1	1	13.288
14	cosned	6	0	1	1	13.288
15	Fructifier	9	0	1	1	13.288
16	prple	8	0	1	1	13.288
17	free-bred	8	0	1	1	13.288
18	mercabilis	5	0	1	1	13.288
19	She'le	9	0	1	1	13.288
20	Rauran	5	0	1	1	13.288
21	Z'oones	9	0	1	1	13.288
22	Tibornes	6	0	1	1	13.288
23	man-queller	9	0	1	1	13.288
24	17.4.5	11	0	1	1	13.288
25	insatiatly	7	0	1	1	13.288
26	garden-pot	7	0	1	1	13.288
27	fulnsse	11	0	1	1	13.288
28	Bewailling	5	0	1	1	13.288
29	th'embraces	13	0	1	1	13.288
30	outfacings	6	0	1	1	13.288
31	whorekeepers	8	0	1	1	13.288
32	releiues	10	0	1	1	13.288
33	Solamons	6	0	1	1	13.288
34	Pict-hatch	6	0	1	1	13.288
35	drippingpan	7	0	1	1	13.288
36	17.5.6	8	0	1	1	13.288
37	Magors	8	0	1	1	13.288
38	pharis.	10	0	1	1	13.288
39	Necromanticall	19	0	1	1	12.288
40	Gentileman	17	0	1	1	12.288
41	Montains	32	0	2	1	12.288
42	deflowreth	15	0	1	1	12.288
43	Hyporisie	21	0	1	1	12.288
44	SWeet-lipt	22	0	1	1	12.288
45	vndoeing	17	0	1	1	12.288
46	th'euening	21	0	1	1	12.288
47	lauisht	21	0	1	1	12.288
48	forchead	21	0	1	1	12.288
49	god-lesse	19	0	1	1	12.288
50	Meritrix	17	0	1	1	12.288
51	zoones	15	0	1	1	12.288
52	tutt	20	0	1	1	12.288
53	besmeere	19	0	1	1	12.288
54	ciuilest	20	0	1	1	12.288
55	Claudins	22	0	1	1	12.288
56	hagged	14	0	1	1	12.288
57	She'l	22	0	1	1	12.288
58	Venic	17	0	1	1	12.288
59	deluered	21	0	1	1	12.288
60	vnpacke	14	0	1	1	12.288
61	wormsmeat	22	0	1	1	12.288
62	himhimselfe	18	0	1	1	12.288
