https://example.com/collocation-analysis
There are 2951037 different words in your collocation database for "fact". (Your query returned 2776 matches in 285 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	that	25326	10.32	336	276	4.03
2	in	74408	30.31	574	285	3.24
3	if	5524	2.25	27	254	2.58
4	this	16484	6.71	73	274	2.44
5	from	19072	7.77	59	284	1.93
6	is	41212	16.79	105	279	1.65
7	we	9766	3.98	21	258	1.40
8	by	27575	11.23	58	285	1.37
9	are	17591	7.17	32	276	1.16
10	is	41212	16.79	68	279	1.02
11	it	23232	9.46	37	277	0.97
12	for	15421	6.28	24	282	0.93
13	the	287657	117.17	441	285	0.91
14	be	23073	9.40	34	281	0.86
15	the	287657	117.17	339	285	0.53
16	which	24874	10.13	28	280	0.47
17	as	23787	9.69	26	281	0.42
18	a	59490	24.23	62	284	0.36
19	to	58648	23.89	57	282	0.25
20	to	58648	23.89	53	282	0.15
21	in	74408	30.31	59	285	-0.04
22	a	59490	24.23	47	284	-0.04
23	by	27575	11.23	21	285	-0.10
24	of	176111	71.73	90	285	-0.67
25	and	76983	31.36	35	285	-0.84
26	of	176111	71.73	49	285	-1.55
27	and	76983	31.36	21	285	-1.58
