No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,9269,1.77,40,213,2.50
2,very,3501,0.67,11,197,2.04
3,but,5809,1.11,18,212,2.02
4,is,15012,2.86,43,218,1.91
5,that,14448,2.75,39,219,1.82
6,in,28125,5.36,74,230,1.79
7,i,9549,1.82,20,217,1.46
8,is,15012,2.86,31,218,1.44
9,are,6107,1.16,10,203,1.10
10,for,6351,1.21,10,228,1.05
11,a,26270,5.01,36,233,0.85
12,as,10298,1.96,14,217,0.83
13,be,13439,2.56,17,221,0.73
14,as,10298,1.96,12,217,0.61
15,to,30718,5.86,35,230,0.58
16,that,14448,2.75,16,219,0.54
17,was,9991,1.90,11,211,0.53
18,this,9269,1.77,10,213,0.50
19,to,30718,5.86,32,230,0.45
20,it,14677,2.80,14,219,0.32
21,it,14677,2.80,14,219,0.32
22,a,26270,5.01,21,233,0.07
23,the,116131,22.14,90,237,0.02
24,the,116131,22.14,76,237,-0.22
25,in,28125,5.36,18,230,-0.25
26,of,71442,13.62,42,237,-0.38
27,and,32257,6.15,17,234,-0.53
28,of,71442,13.62,37,237,-0.56
29,and,32257,6.15,13,234,-0.92
