https://example.com/collocation-analysis
There are 1646897 different words in your collocation database for "facts". (Your query returned 838 matches in 227 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	recorded	107	0.03	13	33	7.88
2	connected	494	0.13	14	98	5.78
3	these	5451	1.40	55	198	4.29
4	many	1095	0.28	11	156	4.29
5	observed	1409	0.36	11	154	3.92
6	some	2461	0.63	12	194	3.24
7	from	11140	2.87	37	211	2.69
8	other	3954	1.02	12	202	2.56
9	i	9683	2.49	27	211	2.44
10	which	16291	4.19	43	214	2.36
11	have	7351	1.89	18	205	2.25
12	are	8857	2.28	16	219	1.81
13	with	12684	3.27	20	224	1.61
14	with	12684	3.27	20	224	1.61
15	in	42898	11.04	53	226	1.26
16	the	162075	41.73	197	227	1.24
17	it	15123	3.89	18	214	1.21
18	that	16670	4.29	19	208	1.15
19	be	13743	3.54	12	222	0.76
20	and	41502	10.68	33	227	0.63
21	by	17381	4.47	13	227	0.54
22	to	36391	9.37	27	227	0.53
23	of	94257	24.27	68	227	0.49
24	to	36391	9.37	16	227	-0.23
25	and	41502	10.68	15	227	-0.51
26	the	162075	41.73	37	227	-1.17
27	of	94257	24.27	21	227	-1.21
