No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8903,1.32,72,243,3.77
2,all,5297,0.79,32,244,3.35
3,have,11632,1.73,35,251,2.34
4,which,22261,3.30,63,260,2.25
5,i,10983,1.63,23,236,1.82
6,with,21572,3.20,34,257,1.41
7,are,17888,2.65,25,258,1.24
8,to,59060,8.77,81,260,1.21
9,as,24508,3.64,32,258,1.14
10,be,20871,3.10,26,259,1.07
11,that,26806,3.98,33,253,1.05
12,by,23573,3.50,24,259,0.78
13,by,23573,3.50,23,259,0.72
14,to,59060,8.77,57,260,0.70
15,the,286326,42.50,276,261,0.70
16,it,21684,3.22,20,258,0.64
17,in,72726,10.79,57,261,0.40
18,of,163767,24.31,118,260,0.28
19,and,71495,10.61,45,260,0.08
20,the,286326,42.50,122,261,-0.48
21,of,163767,24.31,65,260,-0.58
22,and,71495,10.61,27,260,-0.65
