No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8697,1.46,38,221,2.70
2,has,2213,0.37,9,192,2.60
3,very,3045,0.51,10,203,2.29
4,that,13172,2.22,40,225,2.17
5,is,13295,2.24,38,223,2.09
6,in,25981,4.37,64,239,1.87
7,i,9239,1.55,19,224,1.61
8,but,5472,0.92,11,220,1.58
9,is,13295,2.24,21,223,1.23
10,a,24595,4.14,30,238,0.86
11,was,9216,1.55,11,218,0.83
12,that,13172,2.22,15,225,0.76
13,to,28151,4.73,30,237,0.66
14,as,9613,1.62,10,222,0.63
15,as,9613,1.62,10,222,0.63
16,this,8697,1.46,9,221,0.62
17,to,28151,4.73,28,237,0.56
18,be,12192,2.05,12,227,0.55
19,it,13664,2.30,13,226,0.50
20,be,12192,2.05,11,227,0.42
21,a,24595,4.14,22,238,0.41
22,which,11762,1.98,9,226,0.19
23,by,11841,1.99,9,233,0.18
24,it,13664,2.30,10,226,0.12
25,in,25981,4.37,18,239,0.04
26,the,107864,18.14,71,243,-0.03
27,the,107864,18.14,58,243,-0.32
28,of,62941,10.59,31,243,-0.45
29,and,30091,5.06,14,241,-0.53
30,of,62941,10.59,25,243,-0.76
31,and,30091,5.06,11,241,-0.88
