https://example.com/collocation-analysis
There are 1782914 different words in your collocation database for "facts". (Your query returned 1784 matches in 287 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	stated	448	0.11	24	126	5.79
2	prove	242	0.06	11	98	5.55
3	us	537	0.13	9	136	4.11
4	many	1095	0.27	18	192	4.08
5	preceding	746	0.18	11	154	3.93
6	these	5166	1.25	71	256	3.83
7	connected	693	0.17	9	124	3.74
8	paper	995	0.24	12	179	3.64
9	appears	1084	0.26	13	202	3.63
10	general	1238	0.30	10	173	3.06
11	such	1932	0.47	15	215	3.00
12	whole	1366	0.33	10	211	2.92
13	some	2333	0.57	16	242	2.82
14	have	7394	1.79	45	265	2.65
15	from	12207	2.96	57	272	2.27
16	been	4536	1.10	21	264	2.26
17	all	3394	0.82	15	244	2.19
18	i	10989	2.66	47	271	2.14
19	which	17207	4.17	70	267	2.07
20	other	4347	1.05	16	253	1.93
21	are	9525	2.31	34	278	1.88
22	we	5305	1.29	16	226	1.64
23	that	17697	4.29	50	269	1.54
24	will	3853	0.93	10	246	1.42
25	may	4968	1.20	12	261	1.32
26	with	13110	3.18	27	283	1.09
27	by	17114	4.15	32	286	0.95
28	to	39540	9.58	65	286	0.76
29	with	13110	3.18	21	283	0.72
30	the	177516	43.01	264	287	0.62
31	in	43387	10.51	64	286	0.61
32	as	13907	3.37	20	271	0.57
33	this	10607	2.57	15	266	0.55
34	not	7109	1.72	10	260	0.54
35	of	101825	24.67	143	287	0.54
36	as	13907	3.37	19	271	0.50
37	on	12364	3.00	16	286	0.42
38	it	16317	3.95	21	266	0.41
39	by	17114	4.15	21	286	0.34
40	or	9082	2.20	11	267	0.32
41	be	15250	3.70	18	274	0.28
42	this	10607	2.57	12	266	0.22
43	are	9525	2.31	10	278	0.12
44	to	39540	9.58	41	286	0.10
45	and	46177	11.19	45	286	0.01
46	that	17697	4.29	15	269	-0.19
47	the	177516	43.01	130	287	-0.40
48	is	21217	5.14	15	283	-0.46
49	a	35362	8.57	23	285	-0.58
50	and	46177	11.19	23	286	-0.96
51	of	101825	24.67	48	287	-1.04
52	a	35362	8.57	16	285	-1.10
53	in	43387	10.51	17	286	-1.31
