No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,propriety,25,0.00,9,19,10.03
2,curious,137,0.02,10,74,7.73
3,respecting,178,0.03,10,90,7.35
4,many,640,0.11,12,195,5.76
5,new,580,0.10,10,141,5.64
6,following,875,0.15,11,204,5.19
7,these,3300,0.57,33,268,4.86
8,some,1928,0.33,9,264,3.76
9,have,5588,0.96,19,288,3.30
10,which,10971,1.89,28,292,2.89
11,i,8316,1.43,19,290,2.73
12,or,5534,0.95,11,282,2.53
13,from,9034,1.56,15,301,2.27
14,that,12951,2.23,15,289,1.75
15,the,121451,20.94,99,314,1.24
16,be,11233,1.94,9,296,1.22
17,of,73280,12.63,41,313,0.70
18,in,28989,5.00,16,310,0.68
19,to,28752,4.96,15,305,0.60
20,and,32125,5.54,9,314,-0.30
21,the,121451,20.94,22,314,-0.93
22,of,73280,12.63,9,313,-1.49
