https://example.com/collocation-analysis
There are 1264478 different words in your collocation database for "facts". (Your query returned 763 matches in 315 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	propriety	25	0.00	10	315	9.17
2	certainty	58	0.01	9	315	7.81
3	curious	137	0.02	10	315	6.72
4	respecting	178	0.03	10	315	6.34
5	new	580	0.10	11	315	4.77
6	many	640	0.11	12	315	4.76
7	following	875	0.15	11	315	4.18
8	these	3300	0.57	35	315	3.94
9	some	1928	0.33	13	315	3.28
10	have	5588	0.97	24	315	2.63
11	which	10971	1.90	36	315	2.24
12	i	8316	1.44	25	315	2.12
13	been	3476	0.60	10	315	2.05
14	may	3238	0.56	9	315	2.00
15	are	5417	0.94	13	315	1.79
16	or	5534	0.96	13	315	1.76
17	from	9034	1.56	21	315	1.75
18	that	12951	2.24	25	315	1.48
19	this	8386	1.45	12	315	1.05
20	be	11233	1.95	16	315	1.04
21	with	8938	1.55	12	315	0.95
22	to	28752	4.98	33	315	0.73
23	the	121451	21.03	127	315	0.59
24	as	9254	1.60	9	315	0.49
25	of	73280	12.69	64	315	0.33
26	that	12951	2.24	11	315	0.29
27	by	12692	2.20	10	315	0.19
28	in	28989	5.02	21	315	0.06
29	and	32125	5.56	19	315	-0.23
30	to	28752	4.98	16	315	-0.32
31	a	24261	4.20	13	315	-0.37
32	and	32125	5.56	16	315	-0.48
33	the	121451	21.03	55	315	-0.61
34	of	73280	12.69	32	315	-0.67
