No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,attention,456,0.20,27,223,5.06
2,due,2205,0.98,67,223,4.10
3,matter,1392,0.62,42,223,4.09
4,that,31420,13.91,782,223,3.81
5,shown,2346,1.04,26,223,2.65
6,this,20850,9.23,125,223,1.76
7,they,5302,2.35,31,223,1.72
8,in,79960,35.40,464,223,1.71
9,by,28148,12.46,143,223,1.52
10,there,6502,2.88,27,223,1.23
11,is,52852,23.40,204,223,1.12
12,from,19883,8.80,76,223,1.11
13,it,25333,11.22,95,223,1.08
14,no,7152,3.17,26,223,1.04
15,we,12503,5.54,44,223,0.99
16,when,7254,3.21,25,223,0.96
17,to,67046,29.68,216,223,0.86
18,the,333462,147.64,1008,223,0.77
19,is,52852,23.40,154,223,0.72
20,not,11693,5.18,32,223,0.63
21,an,9652,4.27,24,223,0.49
22,have,11464,5.08,28,223,0.46
23,as,28307,12.53,69,223,0.46
24,are,19949,8.83,48,223,0.44
25,be,25934,11.48,62,223,0.43
26,not,11693,5.18,27,223,0.38
27,as,28307,12.53,62,223,0.31
28,the,333462,147.64,674,223,0.19
29,in,79960,35.40,161,223,0.19
30,but,11950,5.29,24,223,0.18
31,be,25934,11.48,51,223,0.15
32,it,25333,11.22,49,223,0.13
33,for,16130,7.14,31,223,0.12
34,which,24053,10.65,45,223,0.08
35,this,20850,9.23,39,223,0.08
36,with,24227,10.73,45,223,0.07
37,was,19490,8.63,36,223,0.06
38,a,72678,32.18,120,223,-0.10
39,and,82270,36.43,126,223,-0.21
40,with,24227,10.73,37,223,-0.21
41,of,182658,80.87,271,223,-0.26
42,by,28148,12.46,41,223,-0.28
43,are,19949,8.83,25,223,-0.50
44,to,67046,29.68,82,223,-0.53
45,of,182658,80.87,203,223,-0.67
46,a,72678,32.18,79,223,-0.70
47,on,24643,10.91,25,223,-0.80
48,and,82270,36.43,34,223,-2.10
