https://example.com/collocation-analysis
There are 3256113 different words in your collocation database for "fact". (Your query returned 6483 matches in 266 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	due	1867	0.89	57	266	4.00
2	that	29887	14.24	751	266	3.72
3	this	21944	10.45	172	266	2.04
4	in	80163	38.18	512	266	1.75
5	from	19106	9.10	96	266	1.40
6	by	26673	12.71	131	266	1.37
7	they	6241	2.97	30	266	1.34
8	when	6909	3.29	30	266	1.19
9	only	5765	2.75	25	266	1.19
10	if	6288	3.00	26	266	1.12
11	is	52925	25.21	216	266	1.10
12	there	6842	3.26	25	266	0.94
13	has	7239	3.45	25	266	0.86
14	to	65067	30.99	212	266	0.77
15	not	10768	5.13	34	266	0.73
16	it	23185	11.04	73	266	0.72
17	is	52925	25.21	162	266	0.68
18	the	326899	155.71	988	266	0.67
19	we	13379	6.37	40	266	0.65
20	very	8095	3.86	24	266	0.64
21	these	9799	4.67	28	266	0.58
22	have	12058	5.74	32	266	0.48
23	i	10047	4.79	26	266	0.44
24	but	12374	5.89	31	266	0.39
25	it	23185	11.04	58	266	0.39
26	which	23647	11.26	59	266	0.39
27	be	24536	11.69	60	266	0.36
28	not	10768	5.13	25	266	0.29
29	we	13379	6.37	30	266	0.23
30	in	80163	38.18	176	266	0.20
31	a	66296	31.58	145	266	0.20
32	was	18297	8.72	40	266	0.20
33	was	18297	8.72	39	266	0.16
34	this	21944	10.45	46	266	0.14
35	for	15460	7.36	32	266	0.12
36	are	23236	11.07	48	266	0.12
37	are	23236	11.07	48	266	0.12
38	as	27874	13.28	57	266	0.10
39	the	326899	155.71	661	266	0.09
40	by	26673	12.71	50	266	-0.02
41	as	27874	13.28	52	266	-0.03
42	be	24536	11.69	45	266	-0.06
43	a	66296	31.58	117	266	-0.11
44	to	65067	30.99	110	266	-0.17
45	with	25109	11.96	42	266	-0.19
46	of	177619	84.61	297	266	-0.19
47	with	25109	11.96	40	266	-0.26
48	and	85478	40.72	124	266	-0.39
49	which	23647	11.26	34	266	-0.41
50	on	24850	11.84	27	266	-0.81
51	on	24850	11.84	26	266	-0.86
52	of	177619	84.61	182	266	-0.89
53	that	29887	14.24	28	266	-1.02
54	and	85478	40.72	39	266	-2.06
