No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,this,8842,1.61,30,221,3.22
2,very,3118,0.57,8,204,2.81
3,in,26280,4.80,67,239,2.80
4,that,13350,2.44,32,225,2.71
5,is,13924,2.54,26,223,2.35
6,i,9379,1.71,15,222,2.13
7,but,5540,1.01,8,219,1.98
8,is,13924,2.54,17,223,1.74
9,a,24657,4.50,28,238,1.64
10,a,24657,4.50,18,238,1.00
11,that,13350,2.44,9,225,0.88
12,which,12007,2.19,8,226,0.87
13,be,12393,2.26,8,227,0.82
14,to,29152,5.32,15,238,0.49
15,the,111297,20.32,55,243,0.44
16,of,64530,11.78,21,243,-0.17
17,the,111297,20.32,32,243,-0.34
18,and,30451,5.56,8,242,-0.47
