No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,curious,130,0.03,13,76,7.60
2,this,7458,1.92,33,282,3.10
3,that,11683,3.01,43,277,2.84
4,in,25290,6.51,81,293,2.64
5,i,7427,1.91,17,281,2.15
6,is,13264,3.42,23,288,1.75
7,is,13264,3.42,21,288,1.62
8,which,10496,2.70,16,281,1.57
9,a,22162,5.71,33,297,1.53
10,the,105439,27.15,107,298,0.98
11,by,11557,2.98,11,293,0.89
12,a,22162,5.71,16,297,0.49
13,in,25290,6.51,17,293,0.38
14,of,64256,16.55,42,295,0.34
15,the,105439,27.15,63,298,0.21
16,and,27413,7.06,14,297,-0.01
17,of,64256,16.55,18,295,-0.88
