https://example.com/collocation-analysis
There are 1902297 different words in your collocation database for "facts". (Your query returned 1710 matches in 277 different texts)
__________________

No.	Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value

1	stated	484	0.12	23	130	5.64
2	many	1219	0.29	16	191	3.78
3	these	5742	1.37	74	247	3.75
4	appears	1203	0.29	13	199	3.50
5	such	2096	0.50	15	209	2.91
6	some	2607	0.62	16	236	2.68
7	have	8083	1.93	46	254	2.58
8	all	3808	0.91	19	238	2.39
9	from	12869	3.07	57	262	2.21
10	been	4839	1.15	20	254	2.11
11	i	11409	2.72	44	262	2.01
12	which	18612	4.44	65	260	1.87
13	are	10204	2.44	35	269	1.85
14	other	4894	1.17	15	247	1.68
15	we	5896	1.41	17	221	1.59
16	that	19539	4.66	52	259	1.48
17	with	14036	3.35	32	273	1.26
18	by	18094	4.32	33	276	0.93
19	with	14036	3.35	25	273	0.90
20	to	42741	10.20	72	276	0.82
21	in	47474	11.33	78	276	0.78
22	this	11663	2.78	18	256	0.69
23	it	18286	4.36	27	258	0.63
24	on	12907	3.08	19	276	0.62
25	the	190622	45.49	274	277	0.59
26	of	108270	25.84	148	277	0.52
27	by	18094	4.32	24	276	0.47
28	be	16958	4.05	22	266	0.44
29	as	15597	3.72	19	263	0.35
30	that	19539	4.66	19	259	0.03
31	as	15597	3.72	15	263	0.01
32	and	48794	11.65	46	276	-0.02
33	to	42741	10.20	37	276	-0.14
34	is	22999	5.49	16	273	-0.46
35	the	190622	45.49	132	277	-0.46
36	a	37941	9.05	24	275	-0.59
37	and	48794	11.65	23	276	-1.02
38	of	108270	25.84	47	277	-1.14
39	a	37941	9.05	16	275	-1.18
40	in	47474	11.33	17	276	-1.41
