No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,these,8723,1.09,66,278,3.92
2,have,11629,1.45,36,290,2.63
3,which,26619,3.33,45,294,1.76
4,from,20277,2.54,33,293,1.70
5,that,27936,3.49,37,291,1.40
6,to,63100,7.89,61,294,0.95
7,the,306370,38.31,254,296,0.73
8,to,63100,7.89,42,294,0.41
9,in,80566,10.07,51,296,0.34
10,of,190748,23.85,110,296,0.21
11,and,82056,10.26,35,296,-0.23
12,the,306370,38.31,130,296,-0.24
13,of,190748,23.85,76,296,-0.33
14,and,82056,10.26,31,296,-0.40
