Period,Total Words,Fact,Facts
1711-1720,411216,6,2
1712-1721,411216,6,2
1715-1724,412014,3,3
1716-1725,412014,3,3
1687-1696,417588,7,0
1688-1697,417588,7,0
1718-1727,436911,1,3
1719-1728,436911,1,3
1714-1723,446515,6,3
1725-1734,475327,4,1
1717-1726,475974,3,4
1723-1732,481152,2,1
1721-1730,484272,1,2
1685-1694,488978,12,1
1707-1716,499118,12,1
1709-1718,500108,7,1
1710-1719,500108,7,1
1727-1736,503830,7,1
1673-1682,514033,9,0
1713-1722,519442,7,3
1678-1687,523497,12,1
1679-1688,523497,12,1
1680-1689,523497,12,1
1681-1690,523497,12,1
1682-1691,523497,12,1
1683-1692,523497,12,1
1684-1693,532379,12,1
1732-1741,537931,10,1
1728-1737,539523,10,1
1729-1738,539523,10,1
1674-1683,544332,4,0
1689-1698,545588,8,0
1720-1729,552008,1,3
1675-1684,557435,8,0
1703-1712,559384,9,1
1726-1735,567790,7,2
1676-1685,572826,10,0
1686-1695,576877,10,1
1705-1714,580932,13,1
1706-1715,580932,13,1
1724-1733,582351,4,1
1722-1731,589378,3,2
1734-1743,595283,11,7
1672-1681,618805,9,0
1677-1686,624939,13,1
1708-1717,628146,14,2
1704-1713,632311,10,1
1730-1739,643037,12,1
1731-1740,643037,12,1
1690-1699,675715,12,0
1736-1745,687153,9,9
1733-1742,696482,13,7
1701-1710,700400,11,1
1702-1711,700400,11,1
1700-1709,722583,11,1
1671-1680,732750,10,0
1696-1705,770858,8,0
1738-1747,774302,11,13
1735-1744,779616,12,10
1760-1769,830585,37,22
1697-1706,852672,9,0
1698-1707,852672,9,0
1699-1708,852710,15,1
1691-1700,854526,13,0
1692-1701,854526,13,0
1670-1679,862258,11,0
1694-1703,865242,15,0
1758-1767,893693,34,34
1743-1752,897476,19,29
1737-1746,899960,14,13
1740-1749,906637,18,22
1741-1750,906637,18,22
1756-1765,925472,33,43
1745-1754,933820,27,32
1739-1748,934618,14,15
1666-1675,941129,10,4
1747-1756,945441,28,37
1761-1770,947209,44,24
1667-1676,951543,10,3
1762-1771,952286,44,19
1669-1678,952411,11,0
1754-1763,960979,32,46
1759-1768,965548,38,37
1695-1704,983742,11,0
1804-1813,992030,252,295
1665-1674,994670,11,4
1693-1702,995542,15,0
1757-1766,995643,33,43
1749-1758,1007015,33,47
1805-1814,1032617,230,308
1807-1816,1039023,233,290
1808-1817,1041089,235,271
1803-1812,1044203,264,309
1811-1820,1049751,272,195
1764-1773,1050538,51,24
1810-1819,1051163,259,222
1668-1677,1052985,11,3
1765-1774,1053415,54,24
1742-1751,1056027,22,35
1752-1761,1057013,38,49
