Context,Collocate
"Years 2020-2024: a person’s familiarity with science fiction transparency, as their deployment in",familiarity
"Years 2020-2024: the participants’ familiarity with science fiction manipulating production @ = 0.014,",familiarity
"Years 2020-2024: was positively influenced by science fiction familiarity blame others for, even",familiarity
Years 2020-2024: was also associated with science fiction familiarity (6 = remained well,familiarity
"Years 2020-2024: control participants’ familiarity with science fiction indicate a robust these behaviours,",familiarity
Years 2020-2024: are still closer to science fiction than science in terms of,science
Years 2020-2024: ‘Arkangel’ episode of dystopian science fiction television series Black Mirror (Endemol,science
"Years 2020-2024: a person’s familiarity with science fiction transparency, as their deployment in",science
"Years 2020-2024: in the technology and science fiction (Science Fiction Hobbyism population Scale,",science
"Years 2020-2024: technology and science fiction (Science Fiction Hobbyism population Scale, SFH; [28]),",science
"Years 2020-2024: the participants’ familiarity with science fiction manipulating production @ = 0.014,",science
"Years 2020-2024: differences in MFQ or science fiction 0.31, p=0.93; feedback—production: R?=0.011, F(6,",science
"Years 2020-2024: was positively influenced by science fiction familiarity blame others for, even",science
Years 2020-2024: was also associated with science fiction familiarity (6 = remained well,science
Years 2020-2024: dilemma in which about science fiction familiarity). one would accept for,science
"Years 2020-2024: control participants’ familiarity with science fiction indicate a robust these behaviours,",science
Years 2020-2024: nature. The influence of science fiction themes is already (a) Participants,science
"Years 2020-2024: and toward technology and science fiction (Science Fiction enhance vignettes, the",science
"Years 2020-2024: technology and science fiction (Science Fiction enhance vignettes, the device was",science
Years 2020-2024: to futuristic technology and science fiction themes (examples of items: I,science
"Years 2020-2024: errors in from G.V. science fiction films, TV series, or books’).",science
Years 2020-2024: Voce SAS. cating higher science fiction familiarity. None of the items,science
"Years 2020-2024: sexual disgust, purity and science fiction familiarity. Palgrave Commun. 4, 1-14.",science
"Years 2020-2024: 362. Michaud T 2020 Science fiction and innovation design. Hoboken, NJ:",science
Years 2020-2024: 2014 Nanotech ideas in science fiction literature. [German original: Hessen-Nanotech series,science
Years 2020-2024: by the will of science fiction gods claims and methods they,science
