No.,Word,Total no. in window corpus,Expected collocate frequency,Observed collocate frequency,In no. of texts,Mutual Information value
1,unexplained,3,0.00,2,1,8.92
2,contradictory,6,0.01,2,4,7.92
3,ignorant,6,0.01,2,4,7.92
4,summarising,6,0.01,2,4,7.92
5,emphasize,7,0.01,2,5,7.69
6,agricultural,12,0.02,3,1,7.50
7,explains,8,0.01,2,6,7.50
8,arrange,22,0.03,5,14,7.36
9,acquisition,9,0.01,2,3,7.33
10,significant,9,0.01,2,5,7.33
11,adduced,10,0.01,2,3,7.18
12,recognise,12,0.02,2,6,6.92
13,spite,37,0.05,5,11,6.61
14,article,16,0.02,2,7,6.50
15,tabulate,17,0.02,2,2,6.41
16,undoubted,18,0.02,2,9,6.33
17,bare,21,0.03,2,8,6.11
18,summarise,21,0.03,2,5,6.11
19,establish,22,0.03,2,14,6.04
20,curious,47,0.06,4,18,5.95

Total tokens in window,537004
Total texts in window,46
