"","ID","Date","Filename","Keyword","Author","Title","Category"
"1",1,"1666-02-10","rstl_1666_0067.txt","facts","none","An account on some books - I. Noveaux elemens de geometrie - II. Synopsis optica, auth. Honorato fabri, Soc. Jesu, Lugduni Gall, in 4. An, 1667. - III. Devi percussionis, Joh. Alphons. Borelli. Bononnix in 4. 1667. - IV. Nic. stenonis musculi descript io geometrica, Florentiæ in 40. An. 1667","fact"
"2",2,"1669-02-15","rstl_1668_0069.txt","facts","James Gregory","An extract of a letter of Mr. James Gregory to the publisher, containing some considerations of his, upon M. Hugens his letter, printed in vindication of his examen of the book, entitled Vera Circuli & Hyperbola Quadratura","fact"
"3",3,"1669-02-15","rstl_1668_0070.txt","facts","Dr. Harvey","An extract of the anatomical account, written and left by the famous Dr. Harvey, concerning Thomas Parre, who died in London at the age of 152 Years and 9 Months","fact"
"4",4,"1671-02-20","rstl_1670_0053.txt","fact","Martin Lister","Extract of a letter written by Mr. Martin Lister to the publisher Jannuar, 25, 16 7071, relating partly to the same argument with that of the former letter, and directing to another insect that is like to yield an Acid liquor; partly to the Bleeding of the Sycamore","fact"
"5",5,"1671-04-01","rstl_1671_0009.txt","fact","none","Some observations, touching colours, in order to the increase of dyes, and the fixation of colours; generously imparted by the Author of the four above mention'd letters, who annexed them to that of Februar. 15. 1670","fact"
"6",6,"1673-03-25","rstl_1673_0002.txt","fact","none","The Preface","fact"
"7",7,"1673-03-25","rstl_1673_0003.txt","fact","Jean Dominique Cassini","A discovery of two new planets about Saturn made in the Royal Parisian Observatory by Signor Cassini, Fellow of both the Royal Societys, of England and France; English't out of French.","fact"
"8",8,"1673-07-21","rstl_1673_0035.txt","fact","Isaac Newton","Mr. Newtons answer to the foregoing letter further explaining his theory of light and colors, and particularly that of whiteness; together with his continued hopes of perfecting telescopes by reflections rather than refractions.","fact"
"9",9,"1673-10-06","rstl_1673_0046.txt","fact","none","An account of four books. I. Tracts, consisting of observations about the saltness of the sea An account of a statical hygroscope and its uses; together with an appendix about the force of the air's moisture And a fragment about the natural and preternatural state of bodies By the Honorable R. Boyle. To all which is premised, a sceptical dialogue about the positive or privative nature of cold By a Member of the R. Society. London, 1673. in 8°. - II. Principia & problemata aliquot geometrica, an","fact"
"10",10,"1673-11-17","rstl_1673_0049.txt","fact","Christian Huygens","Continuatio excerptorum ex epistolis slusianis & hugenianis, super Alhazeni problemate optico, in act is philosophicis proximè pragressis commemorato. DN. Hugenius ad novissimam Dn.Slusii, p.6123. & seqq. Num. 97. editaru, rescripsit editori, Lutetiâ Parisiorum Apr. 9. 1672. in hancsententiam","fact"
