Year,Word Count
1665,185775
1666,107688
1668,116220
1669,105350
1670,145145
1671,128371
1672,118011
1673,100329
1674,113969
1675,121277
1676,118513
1677,113002
1683,140535
1684,135146
1685,144191
1686,184428
1693,150008
1694,87941
1695,247365
1698,151630
1699,149791
1700,213456
1702,166423
1704,224274
1717,161563
1720,76365
1706,98286
1722,126556
1708,146767
1710,184478
1724,126018
1726,74878
1713,86864
1714,171926
1727,106394
1729,131658
1731,126171
1733,123413
1739,246118
1742,177930
1735,110145
1744,208298
1737,146941
1746,237346
1748,183770
1749,218216
1800,207950
1812,119265
1799,103698
1801,138717
1806,131859
1813,86816
1792,145382
1814,178462
1815,133569
1802,160174
1816,97781
1791,131898
1803,154970
1798,173604
1790,197075
1804,130974
1789,98325
1817,100996
1805,105003
1818,143149
1819,137553
1788,126343
1797,155633
1820,102446
1807,95960
1821,129568
1808,108124
1796,152095
1822,134641
1795,176586
1787,144057
1809,142052
1810,99108
1794,197470
1786,152773
1793,74867
1811,118113
1785,146305
1823,148295
1824,156233
1781,182915
1832,218957
1825,190523
1833,337848
1780,147989
1784,139801
1826,362497
1779,153343
1778,276910
1834,301838
1777,208419
1827,119242
1776,136876
1828,149317
1775,134699
1835,168136
1829,198639
1783,166460
1855,185031
1836,299077
1837,214983
1782,140972
1838,202373
1774,125765
1830,161987
1773,131068
1831,167168
1772,124666
1839,214250
1840,303199
1841,156240
1842,152850
1771,178786
1764,122993
1856,413659
1770,140096
1843,145926
1844,146089
1845,145235
1846,299875
1769,137325
1847,118606
1848,124330
1849,246573
1850,386741
1766,81004
1857,395603
1851,386725
1768,89957
1852,312004
1767,137772
1853,279686
1765,94511
1763,148959
1854,154959
1761,175964
1759,280876
1858,453330
1861,387290
1859,428781
1860,267390
1862,524098
1863,293328
1757,250436
1864,416538
1755,257214
1753,252012
1865,364878
1751,164815
1866,428309
1867,326998
1868,329624
1869,398735
1870,326639
1871,344241
1872,248182
1873,335537
1874,403766
1875,359518
1876,355754
1877,347918
1879,597473
1880,457445
1881,399157
1882,646303
1883,426862
1884,283020
1885,377209
1886,339149
