Filename,Keyword,Context,Author,Title,Date
11.txt,facts,"You have twice or thrice observed in your Discourse, that Hypocrisy is the very Foundation of our Education; and that an Ability to dissemble our affections, is a professed Part of our Breeding. These, and such other Reflections, are sprinkled up and down the Writings of all Ages, by Authors, who leave behind them Memorials of their Resentment against the Scorn of particular Women, in Invectives against the whole Sex. Such a Writer, I doubt not, was the celebrated Petronius, who invented the pleasant Aggravations of the Frailty of the Ephesian Lady; but when we consider this Question between the Sexes, which has been either a Point of Dispute or Raillery ever since there were Men and Women, let us take Facts from plain People, and from such as have not either Ambition or Capacity to embellish their Narrations with any Beauties of Imagination. I was the other Day amusing myself with Ligon's Account of Barbadoes; and, in Answer to your well-wrought Tale, I will give you (as it dwells upon my Memory) out of that honest Traveller, in his fifty fifth page, the History of Inkle and Yarico2. Mr. Thomas Inkle of London, aged twenty Years, embarked in the Downs, on the good Ship called the Achilles, bound for the West Indies, on the 16th of June 1647, in order to improve his Fortune by Trade and Merchandize.",Steele,No. 11,1711-03-13
28.txt,fact,"A Cook should not live at the Boot, nor a Shoemaker at the roasted Pig; and yet, for want of this Regulation, I have seen a Goat set up before the Door of a Perfumer, and the French King's Head at a Sword-Cutler's. An ingenious Foreigner observes, that several of those Gentlemen who value themselves upon their Families, and overlook such as are bred to Trade, bear the Tools of their Fore-fathers in their Coats of Arms. I will not examine how true this is in Fact: But though it may not be necessary for Posterity thus to set up the Sign of their Fore-fathers; I think it highly proper for those who actually profess the Trade, to shew some such Marks of it before their Doors. When the Name gives an Occasion for an ingenious Sign-post, I would likewise advise the Owner to take that Opportunity of letting the World know who he is.",Addison,No. 28,1711-04-02
43.txt,facts,"But you must do me then the Justice to own, that nothing can be more useful or laudable than the Scheme we go upon. To avoid Nicknames and Witticisms, we call ourselves The Hebdomadal Meeting: Our President continues for a Year at least, and sometimes four or five: We are all Grave, Serious, Designing Men, in our Way: We think it our Duty, as far as in us lies, to take care the Constitution receives no Harm, — Ne quid detrimenti Res capiat publica — To censure Doctrines or Facts, Persons or Things, which we don't like; To settle the Nation at home, and to carry on the War abroad, where and in what manner we see fit: If other People are not of our Opinion, we can't help that. 'Twere better they were. Moreover, we now and then condescend to direct, in some measure, the little Affairs of our own University.",Steele,No. 43,1711-04-19
44.txt,fact,"However, to avoid publick Blood-shed, as soon as his Passion is wrought to its Height, he follows his Sister the whole length of the Stage, and forbears killing her till they are both withdrawn behind the Scenes. I must confess, had he murder'd her before the Audience, the Indecency might have been greater; but as it is, it appears very unnatural, and looks like killing in cold Blood. To give my Opinion upon this Case; the Fact ought not to have been represented, but to have been told, if there was any Occasion for it. It may not be unacceptable to the Reader, to see how Sophocles has conducted a Tragedy under the like delicate Circumstances. Orestes was in the same Condition with Hamlet in Shakespear, his Mother having murdered his Father, and taken possession of his Kingdom in Conspiracy with her Adulterer.",Addison,No. 44,1711-04-20
50.txt,fictions,"Our other Interpreter used to talk very much of a kind of Animal called a Tory, that was as great a Monster as the Whig, and would treat us as ill for being Foreigners. These two Creatures, it seems, are born with a secret Antipathy to one another, and engage when they meet as naturally as the Elephant and the Rhinoceros. But as we saw none of either of these Species, we are apt to think that our Guides deceived us with Misrepresentations and Fictions, and amused us with an Account of such Monsters as are not really in their Country. These Particulars we made a shift to pick out from the Discourse of our Interpreters; which we put together as well as we could, being able to understand but here and there a Word of what they said, and afterwards making up the Meaning of it among ourselves. The Men of the Country are very cunning and ingenious in handicraft Works; but withal so very idle, that we often saw young lusty raw-boned Fellows carried up and down the Streets in little covered Rooms by a Couple of Porters, who are hired for that Service.",Addison,No. 50,unclear
62.txt,fiction,"I look upon these writers as Goths in Poetry, who, like those in Architecture, not being able to come up to the beautiful Simplicity of the old Greeks and Romans, have endeavoured to supply its place with all the Extravagancies of an irregular Fancy. Mr. Dryden makes a very handsome Observation, on Ovid's writing a Letter from Dido to Æneas, in the following Words6. 'Ovid' says he, (speaking of Virgil's Fiction of Dido and Æneas) 'takes it up after him, even in the same Age, and makes an Ancient Heroine of Virgil's new-created Dido; dictates a Letter for her just before her Death to the ungrateful Fugitive; and, very unluckily for himself, is for measuring a Sword with a Man so much superior in Force to him on the same Subject. I think I may be Judge of this, because I have translated both.",Addison,No. 62,1711-05-11
85.txt,fiction,"But though the Language is mean, the Thoughts , as I have before said, from one end to the other are natural2, and therefore cannot fail to please those who are not Judges of Language, or those who, notwithstanding they are Judges of Language, have a true3 and unprejudiced Taste of Nature. The Condition, Speech, and Behaviour of the dying Parents, with the Age, Innocence, and Distress of the Children, are set forth in such tender Circumstances, that it is impossible for a Reader of common Humanity4 not to be affected with them. As for the Circumstance of the Robin-red-breast, it is indeed a little Poetical Ornament; and to shew the Genius of the Author5 amidst all his Simplicity, it is just the same kind of Fiction which one of the greatest of the Latin Poets has made use of upon a parallel Occasion; I mean that Passage in Horace, where he describes himself when he was a Child, fallen asleep in a desart Wood, and covered with Leaves by the Turtles that took pity on him. Me fabulosa Vulture in Apulo,
    Altricis extra limen Apuliæ,
    Ludo fatigatumque somno
    Fronde novâ puerum palumbes
    Texere ... I have heard that the late Lord Dorset, who had the greatest Wit temper'd with the greatest Candour,6 and was one of the finest Criticks as well as the best Poets of his Age, had a numerous collection of old English Ballads, and took a particular Pleasure in the Reading of them.",Addison,No. 85,1711-06-07
110.txt,fact,"The Knight seeing his Habitation reduced to3 so small a Compass, and himself in a manner shut out of his own House, upon the Death of his Mother ordered all the Apartments4 to be flung open, and exorcised by his Chaplain, who lay in every Room one after another, and by that Means dissipated the Fears which had so long reigned in the Family. I should not have been thus particular upon these ridiculous Horrours, did I not find them so very much prevail in all Parts of the Country. At the same time I think a Person who is thus terrify'd with the Imagination of Ghosts and Spectres much more reasonable than one who, contrary to the Reports of all Historians sacred and prophane, ancient and modern, and to the Traditions of all Nations, thinks the Appearance of Spirits fabulous and groundless: Could not I give myself up to this general Testimony of Mankind, I should to the Relations of particular Persons who are now living, and whom I cannot distrust in other Matters of Fact. I might here add, that not only the Historians, to whom we may join the Poets, but likewise the Philosophers of Antiquity have favoured this Opinion. Lucretius himself, though by the Course of his Philosophy he was obliged to maintain that the Soul did not exist separate from the Body, makes no Doubt of the Reality of Apparitions, and that Men have often appeared after their Death.",Addison,No. 110,1711-07-06
110.txt,fact,"I might here add, that not only the Historians, to whom we may join the Poets, but likewise the Philosophers of Antiquity have favoured this Opinion. Lucretius himself, though by the Course of his Philosophy he was obliged to maintain that the Soul did not exist separate from the Body, makes no Doubt of the Reality of Apparitions, and that Men have often appeared after their Death. This I think very remarkable; he was so pressed with the Matter of Fact which he could not have the Confidence to deny, that he was forced to account for it by one of the most absurd unphilosophical Notions that was ever started. He tells us, That the Surfaces of all Bodies are perpetually flying off from their respective Bodies, one after another; and that these Surfaces or thin Cases that included each other whilst they were joined in the Body like the Coats of an Onion, are sometimes seen entire when they are separated from it; by which means we often behold the Shapes and Shadows of Persons who are either dead or absent5. I shall dismiss this Paper with a Story out of Josephus, not so much for the sake of the Story it self as for the moral Reflections with which the Author concludes it, and which I shall here set down in his own Words.",Addison,No. 110,1711-07-06
110.txt,facts,"However, for the sake of our passed Loves, I shall free thee from thy present Reproach, and make thee mine for ever. Glaphyra told this Dream to several Women of her Acquaintance, and died soon after.6 I thought this Story might not be impertinent in this Place, wherein I speak of those Kings: Besides that, the Example deserves to be taken notice of as it contains a most certain Proof of the Immortality of the Soul, and of Divine Providence. If any Man thinks these Facts incredible, let him enjoy his own Opinion to himself, but let him not endeavour to disturb the Belief of others, who by Instances of this Nature are excited to the Study of Virtue.' L.",Addison,No. 110,1711-07-06
