Year,Word Count
2023,158720
2022,1136795
2015,2749678
2016,2668974
2013,694638
2014,2939161
2008,277072
2021,2086079
2007,49123
2020,2708063
2006,18858
2010,288960
2009,256361
2012,322923
2011,362096
2017,2839439
2018,2026810
2019,3928418
2004,6574
2005,3485
1887,218264
1888,18890
2003,25715
2002,8410
2001,7257
2000,11892
1999,15754
1998,4106
1996,1502
1889,38485
1997,4834
1995,1506
1994,284
1991,53
1966,1442
1986,217
1970,330
1977,2921
1988,746
1979,330
1972,1236
1974,1110
1947,95572
1948,314072
1950,249078
1951,258081
1946,73720
1945,48045
1952,310346
1954,171129
1944,45280
1941,15528
1942,18082
1943,18199
1953,224187
1940,143766
1949,157633
1939,176562
1937,129057
1938,200462
1936,209421
1935,264601
1934,413955
1933,213329
1932,203187
1930,185527
1928,174616
1929,182916
1927,192590
1926,167168
1924,151577
1923,153570
1921,170580
1922,152395
1920,190937
1919,249260
1918,165933
1916,192754
1915,187294
1914,369980
1913,183775
1912,183312
1911,171403
1909,182016
1908,464010
1906,404014
1905,202920
1904,367814
1903,453092
1902,400354
1901,466137
1900,469207
1899,212767
1898,197273
1897,328747
1896,295466
1895,371928
1894,397424
1893,428060
1892,303136
1891,245451
