Year,Word Count
1990,1773
1887,253912
1888,258469
1889,167487
1890,96507
1891,281595
1892,198620
1893,383426
1894,458969
1895,391233
1896,176037
1897,233618
1898,273891
1899,118119
1900,194196
1901,237147
1903,125478
1904,184551
1905,176052
1906,231199
1908,190265
1909,242135
1911,185602
1912,166983
1913,172605
1914,429681
1915,223366
1916,236781
1918,189176
1920,234015
1921,222492
1923,213991
1924,177737
1925,210775
1926,199884
1927,204509
1928,194850
1929,218033
1930,239563
1931,394496
1932,459670
1934,441414
1935,294466
1936,214125
1937,452869
1938,169143
1939,179950
1941,89715
1940,78523
1942,98315
1944,76147
1946,199262
1947,248445
1948,112335
1949,162753
1950,290851
1951,265648
1952,330375
1953,141471
1965,478
1975,455
1976,269
1980,299
1986,2797
1987,432
1991,905
1993,2383
1994,7383
1995,1508
1996,7443
1997,15617
1998,10820
1999,19674
1960,22676
2000,17485
2001,26618
2002,30310
2003,38697
2004,12398
2005,21785
2006,93401
1954,105392
2007,234432
2008,470484
2009,472025
2010,599823
2011,590075
2012,1024922
2013,2266804
2014,2483166
2015,4136759
2016,3947442
2017,2969555
2018,2771232
2019,5351022
2020,3822582
2021,3878066
2022,2610774
2023,139910
2024,9987
