author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Antonio Damasio and Hanna Damasio,2024-8-26,10.1098/rstb.2023.0243,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0243,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0243?download=true,/doi/epdf/10.1098/rstb.2023.0243,The Royal Society,"Sensing, feeling and consciousness"
W. C. Abraham and T. V. P. Bliss and G. L. Collingridge and R. G. M. Morris,2024-7-29,rstb20230218,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0218,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0218?download=true,/doi/epdf/10.1098/rstb.2023.0218,The Royal Society,"Long-term potentiation 50 years on past, present and future"
Qian Song and Xu-Hui Li and Jing-Shan Lu and Qi-Yu Chen and Ren-Hao Liu and Si-Bo Zhou and Min Zhuo,2024-7-29,rstb20230240,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0240,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0240?download=true,/doi/epdf/10.1098/rstb.2023.0240,The Royal Society,Enhanced long-term potentiation in the anterior cingulate cortex of tree shrew
Anastasia Madsen and Shermin de Silva,2024-09-09,rstb20230175,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0175,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0175?download=true,/doi/epdf/10.1098/rstb.2023.0175,The Royal Society,Societies with fission–fusion dynamics as complex adaptive systems the importance of scale
Boya Gao and Gao Hu and Jason W. Chapman,2024-6-24,10.1098/rstb.2023.0115,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0115,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0115?download=true,/doi/epdf/10.1098/rstb.2023.0115,The Royal Society,Effects of nocturnal celestial illumination on high-flying migrant insects
Miguel R. Branco and Edward B. Chuong,2020-3-30,10.1098/rstb.2019.0330,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0330,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0330?download=true,/doi/epdf/10.1098/rstb.2019.0330,The Royal Society,Crossroads between transposons and gene regulation
Vasavi Sundaram and Joanna Wysocka,2020-3-30,10.1098/rstb.2019.0347,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0347,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0347?download=true,/doi/epdf/10.1098/rstb.2019.0347,The Royal Society,Transposable elements as a potent source of diverse cis-regulatory sequences in mammalian genomes
Amanda K. Tilot and Arianna Vino and Katerina S. Kucera and Duncan A. Carmichael and Loes van den Heuvel and Joery den Hoed and Anton V. Sidoroff-Dorso and Archie Campbell and David J. Porteous and Beate St Pourcain and Tessa M. van Leeuwen and Jamie Ward and Romke Rouw and Julia Simner and Simon E. Fisher,2019-12-9,10.1098/rstb.2019.0026,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0026,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0026?download=true,/doi/epdf/10.1098/rstb.2019.0026,The Royal Society,Investigating genetic links between grapheme–colour synaesthesia and neuropsychiatric traits
Amanda K. Tilot and Arianna Vino and Katerina S. Kucera and Duncan A. Carmichael and Loes van den Heuvel and Joery den Hoed and Anton V. Sidoroff-Dorso and Archie Campbell and David J. Porteous and Beate St Pourcain and Tessa M. van Leeuwen and Jamie Ward and Romke Rouw and Julia Simner and Simon E. Fisher,2020-3-30,10.1098/rstb.2019.0746,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0746,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0746?download=true,/doi/epdf/10.1098/rstb.2019.0746,The Royal Society,Correction to ‘Investigating genetic links between grapheme–colour synaesthesia and neuropsychiatric traits’
Emilie Debladis and Tzuu-Fen Lee and Yan-Jiun Huang and Jui-Hsien Lu and Sandra M. Mathioni and Marie-Christine Carpentier and Christel Llauro and Davy Pierron and Delphine Mieulet and Emmanuel Guiderdoni and Pao-Yang Chen and Blake C. Meyers and Olivier Panaud and Eric Lasserre,2020-3-30,10.1098/rstb.2019.0338,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0338,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0338?download=true,/doi/epdf/10.1098/rstb.2019.0338,The Royal Society,Construction and characterization of a knock-down RNA interference line of OsNRPD1 in rice (Oryza sativa ssp japonica cv Nipponbare)
Pablo Tristan-Ramos and Santiago Morell and Laura Sanchez and Belen Toledo and Jose L. Garcia-Perez and Sara R. Heras,2020-3-30,10.1098/rstb.2019.0346,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0346,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0346?download=true,/doi/epdf/10.1098/rstb.2019.0346,The Royal Society,sRNAL1 retrotransposition using siRNAs and miRNAs to expand the applications of the cell culture-based LINE-1 retrotransposition assay
