author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Oldfield Thomas,1887-12-31,10.1098/rstb.1887.0015,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0015,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0015?download=true,/doi/epdf/10.1098/rstb.1887.0015,The Royal SocietyLondon,"XV. On the homologies and succession of the teeth in dasyuridœ, with an attempt to trace the history of the evolution of mammalian teeth in general"
W. H. Caldwell,1887-12-31,10.1098/rstb.1887.0016,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0016,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0016?download=true,/doi/epdf/10.1098/rstb.1887.0016,The Royal SocietyLondon,XVI. The embryology of monotremata and marsupialia.—Part I
Francis Gotch,1887-12-31,10.1098/rstb.1887.0017,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0017,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0017?download=true,/doi/epdf/10.1098/rstb.1887.0017,The Royal SocietyLondon,XVII. The electromotive properties of the electrical organ of torpedo marmorata
Victor Alexander Haden Horsley,1888-12-31,10.1098/rstb.1888.0001,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1888.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1888.0001?download=true,/doi/epdf/10.1098/rstb.1888.0001,The Royal SocietyLondon,I. A record of experiments upon the functions of the cerebral cortex
Brian M. Wood,2024-10-21,rstb20220521,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0521,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0521?download=true,/doi/epdf/10.1098/rstb.2022.0521,The Royal Society,Beyond the here and now hunter–gatherer socio-spatial complexity and the evolution of language
Richard Owen,1888-12-31,10.1098/rstb.1888.0007,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1888.0007,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1888.0007?download=true,/doi/epdf/10.1098/rstb.1888.0007,The Royal SocietyLondon,VII. On parts of the skeleton of meiolania platyceps (Ow.)
Charles E. Beevor,1888-12-31,10.1098/rstb.1888.0009,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1888.0009,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1888.0009?download=true,/doi/epdf/10.1098/rstb.1888.0009,The Royal SocietyLondon,IX. A further minute analysis by electric stimulation of the so-called motor region of the cortex cerebri in the monkey (macacus sinicus)
Marek McGann,2024-9-23,rstb20230282,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0282,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0282?download=true,/doi/epdf/10.1098/rstb.2023.0282,The Royal Society,"People, places, things and communities expanding behaviour settings theory in the twenty-first century"
Charlotte Nef,2024-09-09,rstb20230172,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0172,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0172?download=true,/doi/epdf/10.1098/rstb.2023.0172,The Royal Society,From nets to networks tools for deciphering phytoplankton metabolic interactions within communities and their global significance
William Crawford Williamson,1889-12-31,10.1098/rstb.1889.0003,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1889.0003,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1889.0003?download=true,/doi/epdf/10.1098/rstb.1889.0003,The Royal SocietyLondon,III. On the organisation of the fossil plants of the coal-measures.--Part XV
William Crawford Williamson,1889-12-31,10.1098/rstb.1889.0005,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1889.0005,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1889.0005?download=true,/doi/epdf/10.1098/rstb.1889.0005,The Royal SocietyLondon,V. On the organisation of the fossil plants of the coal-measures.—Part XVI
Christopher L.-H. Huang,2023-6-19,10.1098/rstb.2022.0160,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0160,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0160?download=true,/doi/epdf/10.1098/rstb.2022.0160,The Royal Society,Cardiomyocyte electrophysiology and its modulation current views and future prospects
Lorenzo Donald,2023-6-19,10.1098/rstb.2022.0180,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0180,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0180?download=true,/doi/epdf/10.1098/rstb.2022.0180,The Royal Society,What makes the sinoatrial node tick A question not for the faint of heart
Yohay Carmel,2023-3-13,10.1098/rstb.2021.0397,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0397,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0397?download=true,/doi/epdf/10.1098/rstb.2021.0397,The Royal Society,Human socio-cultural evolution in light of evolutionary transitions introduction to the theme issue
Yohay Carmel,2023-4-10,10.1098/rstb.2023.0003,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0003,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0003?download=true,/doi/epdf/10.1098/rstb.2023.0003,The Royal Society,Correction to Human socio-cultural evolution in light of evolutionary transitions introduction to the theme issue (2022) by Carmel et al.
Anna M. Borghi,2023-2-13,10.1098/rstb.2021.0351,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0351,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0351?download=true,/doi/epdf/10.1098/rstb.2021.0351,The Royal Society,Concepts in interaction social engagement and inner experiences
Dan Hu,2023-6-19,10.1098/rstb.2022.0174,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0174,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0174?download=true,/doi/epdf/10.1098/rstb.2022.0174,The Royal Society,Advances in basic and translational research in atrial fibrillation
Tamar Keasar,2023-3-13,10.1098/rstb.2021.0402,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0402,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0402?download=true,/doi/epdf/10.1098/rstb.2021.0402,The Royal Society,Can sociality facilitate learning of complex tasks Lessons from bees and flowers
Daniel W. McShea,2023-3-13,10.1098/rstb.2021.0403,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0403,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0403?download=true,/doi/epdf/10.1098/rstb.2021.0403,The Royal Society,Four reasons for scepticism about a human major transition in social individuality
Guy O. Dove,2023-2-13,10.1098/rstb.2021.0375,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0375,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0375?download=true,/doi/epdf/10.1098/rstb.2021.0375,The Royal Society,Rethinking the role of language in embodied cognition
Hadar Karmazyn-Raz,2023-2-13,10.1098/rstb.2021.0358,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0358,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0358?download=true,/doi/epdf/10.1098/rstb.2021.0358,The Royal Society,Sampling statistics are like story creation a network analysis of parent–toddler exploratory play
Angelo Cangelosi,2018-8-5,10.1098/rstb.2017.0131,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2017.0131,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2017.0131?download=true,/doi/epdf/10.1098/rstb.2017.0131,The Royal Society,A review of abstract concept learning in embodied agents and robots
Sara De Felice,2023-2-13,10.1098/rstb.2021.0357,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0357,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0357?download=true,/doi/epdf/10.1098/rstb.2021.0357,The Royal Society,"Learning from others is good, with others is better the role of social interaction in human acquisition of new knowledge"
Alison Gopnik,2020-7-20,10.1098/rstb.2019.0502,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0502,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0502?download=true,/doi/epdf/10.1098/rstb.2019.0502,The Royal Society,Childhood as a solution to explore–exploit tensions
Elizabeth M. Clerkin,2017-1-5,10.1098/rstb.2016.0055,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2016.0055,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2016.0055?download=true,/doi/epdf/10.1098/rstb.2016.0055,The Royal Society,Real-world visual statistics and infants' first-learned object names
Jean-Jacques Hublin,2015-3-5,10.1098/rstb.2014.0062,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2014.0062,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2014.0062?download=true,/doi/epdf/10.1098/rstb.2014.0062,The Royal Society,Brain ontogeny and life history in Pleistocene hominins
Maddie Pelz,2020-7-20,10.1098/rstb.2019.0503,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2019.0503,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2019.0503?download=true,/doi/epdf/10.1098/rstb.2019.0503,The Royal Society,The elaboration of exploratory play
