author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Gregory F. Albery†,2024-10-21,rstb20220534,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0534,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0534?download=true,/doi/epdf/10.1098/rstb.2022.0534,The Royal Society,"Expanding theory, methodology and empirical systems at the spatial–social interface"
C. A. MacMunn,1900-01-01,10.1098/rstb.1900.0007,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0007,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0007?download=true,/doi/epdf/10.1098/rstb.1900.0007,The Royal SocietyLondon,I. On the gastric gland of mollusca and decapod crustacea its structure and functions
James C. Thompson,2024-10-21,rstb20220522,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0522,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0522?download=true,/doi/epdf/10.1098/rstb.2022.0522,The Royal Society,Interactions between neural representations of the social and spatial environment
Emmanuel Lourie,2024-10-21,rstb20240060,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2024.0060,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2024.0060?download=true,/doi/epdf/10.1098/rstb.2024.0060,The Royal Society,Spatial memory obviates following behaviour in an information centre of wild fruit bats
Maria Dawson,1900-01-01,10.1098/rstb.1900.0001,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0001?download=true,/doi/epdf/10.1098/rstb.1900.0001,The Royal SocietyLondon,I. “Nitragin” and the nodules of leguminous plants
Charles Sissmore Tomes,1900-01-01,10.1098/rstb.1900.0008,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0008,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0008?download=true,/doi/epdf/10.1098/rstb.1900.0008,The Royal SocietyLondon,II.— Upon the development of the enamel in certain osseous fish
Frederick Orpen Bower,1900-01-01,10.1098/rstb.1900.0002,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0002,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0002?download=true,/doi/epdf/10.1098/rstb.1900.0002,The Royal SocietyLondon,II. Studies in the morphology of spore-producing members.—No. IV. The leptosporangiate ferns
Charles Immanuel Forsyth Major,1900-01-01,10.1098/rstb.1900.0009,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1900.0009,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1900.0009?download=true,/doi/epdf/10.1098/rstb.1900.0009,The Royal SocietyLondon,"III. Extinct mammalia from Madagascar.—I. Megaladapis insignis, sp. n"
Cameron J. Baker,2024-10-21,rstb20220528,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0528,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0528?download=true,/doi/epdf/10.1098/rstb.2022.0528,The Royal Society,Active crocodiles are less sociable
John Lander Harper,1986-08-14,10.1098/rstb.1986.0021,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1986.0021,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1986.0021?download=true,/doi/epdf/10.1098/rstb.1986.0021,The Royal SocietyLondon,Preface
