author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Louise Barrett,2024-8,rstb20230144,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0144,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0144?download=true,/doi/epdf/10.1098/rstb.2023.0144,The Royal Society,Minds in movement embodied cognition in the age of artificial intelligence
Laura Desirèe Di Paolo,2024-8,rstb20230148,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0148,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0148?download=true,/doi/epdf/10.1098/rstb.2023.0148,The Royal Society,Active inference goes to school the importance of active learning in the age of large language models
Lena H. Ting†,2024-8,rstb20230485,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0485,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0485?download=true,/doi/epdf/10.1098/rstb.2023.0485,The Royal Society,Ethnokinesiology towards a neuromechanical understanding of cultural differences in movement
Greg Downey,2024-8,rstb20230150,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0150,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0150?download=true,/doi/epdf/10.1098/rstb.2023.0150,The Royal Society,Skill building in freediving as an example of embodied culture
Mohammadamin Saraei,2024-8,rstb20230162,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0162,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0162?download=true,/doi/epdf/10.1098/rstb.2023.0162,The Royal Society,"Aligned bodies, united hearts embodied emotional dynamics of an Islamic ritual"
Robert Pepperell,2024-1-29,10.1098/rstb.2022.0429,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0429,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0429?download=true,/doi/epdf/10.1098/rstb.2022.0429,The Royal Society,Being alive to the world an artist's perspective on predictive processing
Ophelia Deroy,2023-2-13,10.1098/rstb.2021.0369,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0369,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0369?download=true,/doi/epdf/10.1098/rstb.2021.0369,The Royal Society,Olfactory abstraction a communicative and metacognitive account
Serguei Saavedra,2022-6-20,10.1098/rstb.2021.0159,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0159,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0159?download=true,/doi/epdf/10.1098/rstb.2021.0159,The Royal Society,Towards a system-level causative knowledge of pollinator communities
Serguei Saavedra,2023-2-13,10.1098/rstb.2022.0453,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0453,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0453?download=true,/doi/epdf/10.1098/rstb.2022.0453,The Royal Society,Correction to ‘Towards a system-level causative knowledge of pollinator communities’ 2022 by Saavedra et al.
Abigail R. Wills†,2023-1-2,10.1098/rstb.2021.0070,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2021.0070,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2021.0070?download=true,/doi/epdf/10.1098/rstb.2021.0070,The Royal Society,A practice-led assessment of landscape restoration potential in a biodiversity hotspot
