author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Richard Owen,1887-12-31,10.1098/rstb.1887.0001,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0001,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0001?download=true,/doi/epdf/10.1098/rstb.1887.0001,The Royal SocietyLondon,I. Additional evidence of the affinities of the extinct marsupial quadruped Thylacoleo carnifex (Owen)
Hans Friedrich Gadow,1887-12-31,10.1098/rstb.1887.0002,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0002,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0002?download=true,/doi/epdf/10.1098/rstb.1887.0002,The Royal SocietyLondon,II. Remarks on the cloaca and on the organs of the amniota
Joseph Reynolds Green,1887-12-31,10.1098/rstb.1887.0003,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0003,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0003?download=true,/doi/epdf/10.1098/rstb.1887.0003,The Royal SocietyLondon,III. On the changes in the proteids in the seed which accompany germination
Thos. Carnelley,1887-12-31,10.1098/rstb.1887.0004,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0004,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0004?download=true,/doi/epdf/10.1098/rstb.1887.0004,The Royal SocietyLondon,"IV. The carbonic acid, organic matter, and micro-organisms air, more especially of dwellings and schools"
Percy Faraday Frankland,1887-12-31,10.1098/rstb.1887.0005,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0005,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0005?download=true,/doi/epdf/10.1098/rstb.1887.0005,The Royal SocietyLondon,V. A new method for the quantitative estimation of micro-organisms present the atmosphere
Charles E. Beevor,1887-12-31,10.1098/rstb.1887.0006,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0006,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0006?download=true,/doi/epdf/10.1098/rstb.1887.0006,The Royal SocietyLondon,"VI. A minute analysis (experiments) of the various movements produced by stimulating in the monkey different regions of the cortical centre for the upper limb, as defined by Professor Ferrier"
John Whitaker Hulke,1887-12-31,10.1098/rstb.1887.0007,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0007,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0007?download=true,/doi/epdf/10.1098/rstb.1887.0007,The Royal SocietyLondon,"VII. Supplemental note on polacanthus foxii, describing the dorsal shield and some parts of the endoskeleton, imperfectly known in 1881"
Harry Marshall Ward,1887-12-31,10.1098/rstb.1887.0008,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0008,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0008?download=true,/doi/epdf/10.1098/rstb.1887.0008,The Royal SocietyLondon,VIII. On the structure and life-history of entyloma ranunculi (bonorden)
Harry Govier Seeley,1887-12-31,10.1098/rstb.1887.0009,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0009,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0009?download=true,/doi/epdf/10.1098/rstb.1887.0009,The Royal SocietyLondon,"IX. Researches on the structure, organization, and classification of the fossil reptilia. - I. On protoronsaurus speneri (von Meyer)"
Augustus Desire Waller,1887-12-31,10.1098/rstb.1887.0010,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.1887.0010,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.1887.0010?download=true,/doi/epdf/10.1098/rstb.1887.0010,The Royal SocietyLondon,X. On the action of the excised mammalian heart
