author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
none,1752-12-31,10.1098/rstl.1751.0100,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0100,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0100?download=true,/doi/epdf/10.1098/rstl.1751.0100,The Royal SocietyLondon,Tab XVIII
Brown,1752-12-31,10.1098/rstl.1751.0098,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0098,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0098?download=true,/doi/epdf/10.1098/rstl.1751.0098,The Royal SocietyLondon,"XCVI. Extract of a letter from Mr. Brown, Apothecary, at Salisbury, to Mr. Wm. Watson, F. R. S. concerning the success of inoculation there"
William Watson,1752-12-31,10.1098/rstl.1751.0097,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0097,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0097?download=true,/doi/epdf/10.1098/rstl.1751.0097,The Royal SocietyLondon,"XCVI. A letter of Mr. W. Watson, F. R. S. to the Royal Society, concerning the electrical experiments in England upon thunder-clouds"
Benjamin Franklin,1752-12-31,10.1098/rstl.1751.0096,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0096,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0096?download=true,/doi/epdf/10.1098/rstl.1751.0096,The Royal SocietyLondon,"XCV. A letter of Benjamin Franklin, Esq; to Mr. Peter Collinson, F. R. S. concerning an electrical kite"
Jean Baptiste Faget,1752-12-31,10.1098/rstl.1751.0095,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0095,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0095?download=true,/doi/epdf/10.1098/rstl.1751.0095,The Royal SocietyLondon,"XCIV. Mons. Faget's remarks on the use, c. of the styptic, purchased by His Most Christian Majesty; communicated by James Theobald, Esq; F. R. S"
Mylius,1752-12-31,10.1098/rstl.1751.0094,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0094,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0094?download=true,/doi/epdf/10.1098/rstl.1751.0094,The Royal SocietyLondon,"XCIII. Extract of a letter from Mr. Mylius of Berlin, to Mr. W. Watson, F. R. S. Upon the before-mention'd subject; dated at Berlin, August 26, 1752"
Jean Antoine Nollet,1752-12-31,10.1098/rstl.1751.0093,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0093,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0093?download=true,/doi/epdf/10.1098/rstl.1751.0093,The Royal SocietyLondon,"XCII. Extracts of two letters of the Abbè Nollet, F. R. S. to Mr. William Watson, F. R. S. relating to the extracting electricity from the clouds. Translated from the French"
Guillaume Mazeas,1752-12-31,10.1098/rstl.1751.0092,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0092,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0092?download=true,/doi/epdf/10.1098/rstl.1751.0092,The Royal SocietyLondon,"XCI. Letters of the Abbé Mazeas, F. R. S. to the Rev. Stephen Hales, D. D, F. R. S. concerning the success of the late experi­ments in France. Translated from the French by James Parsons, M. D. F. R. S"
Thomas Hope,1752-12-31,10.1098/rstl.1751.0091,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0091,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0091?download=true,/doi/epdf/10.1098/rstl.1751.0091,The Royal SocietyLondon,"XC. Extracts of two letters of Thomas Hope, M. D. to John Clephane, M. D. F. R. S. concerning Monsieur Daviel's method of couching a cataract"
Henry Eeles,1752-12-31,10.1098/rstl.1751.0090,EN,https://royalsocietypublishing.org/doi/10.1098/rstl.1751.0090,https://royalsocietypublishing.org/doi/pdf/10.1098/rstl.1751.0090?download=true,/doi/epdf/10.1098/rstl.1751.0090,The Royal SocietyLondon,"LXXXIX. A letter from Mr. Henry Eeles, to the Royal Society, concerning the cause of thunder"
