author,date,identifier,language,og_url,pdf_download_link,pdf_link,publisher,title
Jens-Christian Svenning,2024-5-27,10.1098/rstb.2023.0008,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0008,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0008?download=true,/doi/epdf/10.1098/rstb.2023.0008,The Royal Society,Navigating ecological novelty towards planetary stewardship challenges and opportunities in biodiversity dynamics in a transforming biosphere
Brian J. Enquist,2024-5-27,10.1098/rstb.2023.0010,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0010,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0010?download=true,/doi/epdf/10.1098/rstb.2023.0010,The Royal Society,Scaling approaches and macroecology provide a foundation for assessing ecological resilience in the Anthropocene
David Fastovich,2024-5-27,10.1098/rstb.2023.0012,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0012,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0012?download=true,/doi/epdf/10.1098/rstb.2023.0012,The Royal Society,Legacies of millennial-scale climate oscillations in contemporary biodiversity in eastern North America
Damaris Zurell,2024-5-27,10.1098/rstb.2023.0013,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0013,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0013?download=true,/doi/epdf/10.1098/rstb.2023.0013,The Royal Society,Range and climate niche shifts in European and North American breeding birds
Ming Ni,2024-5-27,10.1098/rstb.2023.0373,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0373,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0373?download=true,/doi/epdf/10.1098/rstb.2023.0373,The Royal Society,Soil properties constrain forest understory plant distributions along an elevation gradient
Melodie A. McGeoch,2024-5-27,10.1098/rstb.2023.0014,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0014,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0014?download=true,/doi/epdf/10.1098/rstb.2023.0014,The Royal Society,"A nature-positive future with biological invasions theory, decision support and research needs"
Chang Liu,2024-5-27,10.1098/rstb.2023.0335,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0335,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0335?download=true,/doi/epdf/10.1098/rstb.2023.0335,The Royal Society,Predicting the responses of European grassland communities to climate and land cover change
Martin Jung†,2024-5-27,10.1098/rstb.2023.0015,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0015,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0015?download=true,/doi/epdf/10.1098/rstb.2023.0015,The Royal Society,An assessment of the state of conservation planning in Europe
Thomas C. G. Bosch,2024-5-6,10.1098/rstb.2023.0060,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0060,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0060?download=true,/doi/epdf/10.1098/rstb.2023.0060,The Royal Society,A new lexicon in the age of microbiome research
Dagan Jenkins,2024-4-22,10.1098/rstb.2023.0045,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0045,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0045?download=true,/doi/epdf/10.1098/rstb.2023.0045,The Royal Society,How do stochastic processes and genetic threshold effects explain incomplete penetrance and inform causal disease mechanisms
Mathieu Herman,2024-4-8,10.1098/rstb.2022.0387,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0387,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0387?download=true,/doi/epdf/10.1098/rstb.2022.0387,The Royal Society,Endo-lysosomal dysfunction in neurodegenerative diseases opinion on current progress and future direction in the use of exosomes as biomarkers
Chawarat Rotejanaprasert,2023-10-9,10.1098/rstb.2022.0281,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0281,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0281?download=true,/doi/epdf/10.1098/rstb.2022.0281,The Royal Society,Evaluation of Kato-Katz and multiplex quantitative polymerase chain reaction performance for clinical helminth infections in Thailand using a latent class analysis
Charles Efferson,2024-3-11,10.1098/rstb.2023.0039,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2023.0039,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2023.0039?download=true,/doi/epdf/10.1098/rstb.2023.0039,The Royal Society,When norm change hurts
Justin L. Penn,2024-2-26,10.1098/rstb.2022.0487,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0487,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0487?download=true,/doi/epdf/10.1098/rstb.2022.0487,The Royal Society,Geographical and taxonomic patterns in aerobic traits of marine ectotherms
Jacopo Frascaroli,2024-1-29,10.1098/rstb.2022.0410,EN,https://royalsocietypublishing.org/doi/10.1098/rstb.2022.0410,https://royalsocietypublishing.org/doi/pdf/10.1098/rstb.2022.0410?download=true,/doi/epdf/10.1098/rstb.2022.0410,The Royal Society,Aesthetics and predictive processing grounds and prospects of a fruitful encounter
