"author","date","identifier","language","og_url","pdf_download_link","pdf_link","publisher","title","keywords","subjects"
"Leonette Annan","2024-10-23","rsta20230326","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0326","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0326?download=true","/doi/epdf/10.1098/rsta.2023.0326","The Royal Society","Celebrating the 15th anniversary of the Royal Society Newton International Fellowship",NA,NA
"J. M. Londono Monsalve and E. Kovalska and M. F. Craciun and M. R. Marsico","2024-10-23","rsta20230324","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0324","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0324?download=true","/doi/epdf/10.1098/rsta.2023.0324","The Royal Society","Graphene nanoplatelets on recycled rubber an experimental study of material properties and mechanical improvements",NA,NA
"Javier Carrasco","2024-10-23","rsta20230313","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2023.0313","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2023.0313?download=true","/doi/epdf/10.1098/rsta.2023.0313","The Royal Society","A theoretical perspective on solid-state ionic interfaces",NA,NA
"Christian P. Robert and Judith Rousseau","2023-5-15","10.1098/rsta.2022.0155","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0155","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0155?download=true","/doi/epdf/10.1098/rsta.2022.0155","The Royal Society","A special issue on Bayesian inference challenges, perspectives and prospects",NA,NA
"Joshua J. Bon and Adam Bretherton and Katie Buchhorn and Susanna Cramb and Christopher Drovandi and Conor Hassan and Adrianne L. Jenner and Helen J. Mayfield and James M. McGree and Kerrie Mengersen and Aiden Price and Robert Salomone and Edgar Santos-Fernandez and Julie Vercelloni and Xiaoyu Wang","2023-5-15","10.1098/rsta.2022.0156","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0156","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0156?download=true","/doi/epdf/10.1098/rsta.2022.0156","The Royal Society","Being Bayesian in the 2020s opportunities and challenges in the practice of modern applied Bayesian statistics",NA,NA
"Paolo Maria Mariano","2016-4-28","10.1098/rsta.2015.0341","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0341","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0341?download=true","/doi/epdf/10.1098/rsta.2015.0341","The Royal Society Publishing","Trends and challenges in the mechanics of complex materials a view",NA,NA
"Chris C. Holmes and Stephen G. Walker","2023-5-15","10.1098/rsta.2022.0143","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0143","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0143?download=true","/doi/epdf/10.1098/rsta.2022.0143","The Royal Society","Statistical inference with exchangeability and martingales",NA,NA
"I. J. Beyerlein and A. Hunter","2016-4-28","10.1098/rsta.2015.0166","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0166","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0166?download=true","/doi/epdf/10.1098/rsta.2015.0166","The Royal Society Publishing","Understanding dislocation mechanics at the mesoscale using phase field dislocation dynamics",NA,NA
"S. Wade","2023-5-15","10.1098/rsta.2022.0149","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2022.0149","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2022.0149?download=true","/doi/epdf/10.1098/rsta.2022.0149","The Royal Society","Bayesian cluster analysis",NA,NA
"Reuven Segev","2016-4-28","10.1098/rsta.2015.0174","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0174","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0174?download=true","/doi/epdf/10.1098/rsta.2015.0174","The Royal Society Publishing","Continuum mechanics, stresses, currents and electrodynamics",NA,NA
"Alessandro Silvani and Giovanna Calandra-Buonaura and Roger A. L. Dampney and Pietro Cortelli","2016-5-13","10.1098/rsta.2015.0181","EN","https://royalsocietypublishing.org/doi/10.1098/rsta.2015.0181","https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2015.0181?download=true","/doi/epdf/10.1098/rsta.2015.0181","The Royal Society Publishing","Brain–heart interactions physiology and clinical implications",NA,NA
